Kood;Lühinimetus;Nimetus;Pikk_nimetus;Vanem_kood;Hierarhia_aste;Kehtivuse_alguse_kpv;Kehtivuse_lõpu_kpv;Viimane_muudatus_kpv;Staatus;Selgitus;Teenusele vastava eriala kood;Teenusele vastava eriala nimetus
APU004;;õe vastuvõtt pulmonoloogia erialal (tubakast loobumine);;;0;16.12.2016;;03.03.2017;1;;N260;pulmonoloogiaõendus
APU005;;kopsuarsti vastuvõtt (tuberkuloos);;;0;16.12.2016;;;1;;E330;pulmonoloogia
APU006;;õe vastuvõtt pulmonoloogia erialal (kodune ventilaatorravi);;;0;16.12.2016;;;1;;N260;pulmonoloogiaõendus
APU007;;õe vastuvõtt pulmonoloogia erialal (kodune hapnikravi);;;0;16.12.2016;;;1;;N260;pulmonoloogiaõendus
APU008;;õe vastuvõtt pulmonoloogia erialal (astma, KOK);;;0;16.12.2016;;22.12.2020;1;;N260;pulmonoloogiaõendus
APU009;;kopsuarsti vastuvõtt (tubakast loobumine);;;0;16.12.2016;;16.03.2018;1;;E330;pulmonoloogia
APU010;;õe vastuvõtt pulmonoloogia erialal (uneaegsed hingamishäired);;;0;16.12.2016;;22.12.2020;1;;N260;pulmonoloogiaõendus
APU011;;laste kopsuarsti vastuvõtt (tuberkuloos);;;0;16.12.2016;;;1;;E330;pulmonoloogia
APU012;;laste pulmonoloogi-allergoloogi vastuvõtt;;;0;16.12.2016;;;1;;E330;pulmonoloogia
APU013;;õe vastuvõtt pulmonoloogia-allergoloogia erialal (lapsed);;;0;16.12.2016;;;1;;N220;lasteõendus
ARA001;;radioloogi vastuvõtt;;;0;09.11.2021;;;1;;E340;radioloogia
ARA002;;rinnanäärmekasvaja sõeluuring;;;0;09.11.2021;;;1;;E340;radioloogia
ARE001;;reumatoloogi vastuvõtt;;;0;16.12.2016;;;1;;E350;reumatoloogia
ARE002;;reumatoloogi vastuvõtt (osteoporoos);;;0;16.12.2016;;;1;;E350;reumatoloogia
ARE003;;reumatoloogi vastuvõtt (varajane artriit);;;0;16.12.2016;;;1;;E350;reumatoloogia
ARE004;;õe vastuvõtt reumatoloogia erialal;;;0;16.12.2016;;;1;;N500;õde
ARE005;;õe vastuvõtt reumatoloogia erialal (osteoporoos);;;0;16.12.2016;;;1;;N500;õde
ARE006;;laste reumatoloogi vastuvõtt;;;0;16.12.2016;;;1;;E760;pediaatria – reumatoloogia
ARE007;;õe vastuvõtt reumatoloogia erialal (lapsed);;;0;16.12.2016;;;1;;N500;õde
ARK001;;rindkerekirurgi vastuvõtt;;;0;16.12.2016;;;1;;E390;torakaalkirurgia
ARK002;;õe vastuvõtt rindkerekirurgia erialal;;;0;16.12.2016;;;1;;N500;õde
ARK003;;rindkerekirurgi vastuvõtt (onkoloog);;;0;16.12.2016;;;1;;E390;torakaalkirurgia
ASG001;;günekoloogi vastuvõtt;;;0;16.12.2016;;;1;;E370;sünnitusabi ja günekoloogia
ASG002;;günekoloogi vastuvõtt (IVF);;;0;16.12.2016;;;1;;E370;sünnitusabi ja günekoloogia
ASG003;;mammoloogi vastuvõtt (günekoloog);;;0;16.12.2016;;22.12.2020;1;;E370;sünnitusabi ja günekoloogia
ASG004;;günekoloogi vastuvõtt (viljatus);;;0;16.12.2016;;;1;;E370;sünnitusabi ja günekoloogia
ASG005;;günekoloogi vastuvõtt (seksuaaltervis);;;0;16.12.2016;;;1;;E370;sünnitusabi ja günekoloogia
ASG006;;günekoloogi vastuvõtt (kriisinõustamine rasedatele);;;0;16.12.2016;;22.12.2020;1;;E370;sünnitusabi ja günekoloogia
ASG007;;laste günekoloogi vastuvõtt;;;0;16.12.2016;;;1;;E370;sünnitusabi ja günekoloogia
ASG008;;günekoloogi vastuvõtt (inkontinents);;;0;16.12.2016;;;1;;E370;sünnitusabi ja günekoloogia
ASG009;;günekoloogi vastuvõtt (operatsioonieelne);;;0;16.12.2016;;;1;;E370;sünnitusabi ja günekoloogia
ASG010;;günekoloogi vastuvõtt (perimenopaus);;;0;16.12.2016;;;1;;E370;sünnitusabi ja günekoloogia
ASG011;;günekoloogi vastuvõtt (rasedad);;;0;16.12.2016;;;1;;E370;sünnitusabi ja günekoloogia
ASG012;;günekoloogi vastuvõtt (vaagnapõhja allavaje);;;0;16.12.2016;;;1;;E370;sünnitusabi ja günekoloogia
ASG013;;günekoloogi vastuvõtt (raseduse katkestamine);;;0;16.12.2016;;;1;;E370;sünnitusabi ja günekoloogia
ASG014;;ämmaemanda vastuvõtt;;;0;16.12.2016;;;1;;N600;ämmaemand
ASG015;;ämmaemanda vastuvõtt (IVF);;;0;16.12.2016;;;1;;N600;ämmaemand
ASG016;;ämmaemanda vastuvõtt (inkontinents);;;0;16.12.2016;;;1;;N600;ämmaemand
ASG017;;ämmaemanda vastuvõtt (imetamisnõustamine);;;0;16.12.2016;;;1;;N600;ämmaemand
ASG018;;ämmaemanda vastuvõtt (viljatus);;;0;16.12.2016;;;1;;N600;ämmaemand
ASG019;;ämmaemanda vastuvõtt (seksuaaltervis);;;0;16.12.2016;;;1;;N600;ämmaemand
ASG020;;ämmaemanda vastuvõtt (raseduskriis);;;0;16.12.2016;;22.12.2020;1;;N600;ämmaemand
ASG021;;ämmaemanda vastuvõtt (toitumisnõustamine);;;0;16.12.2016;;;1;;N600;ämmaemand
ASG022;;ämmaemanda vastuvõtt (kuulmisskriining);;;0;16.12.2016;;;1;;N600;ämmaemand
ASG023;;ämmaemanda vastuvõtt (kontratseptsioon);;;0;16.12.2016;;;1;;N600;ämmaemand
ASG024;;ämmaemanda vastuvõtt (gestatsioonidiabeet);;;0;16.12.2016;;;1;;N600;ämmaemand
ASG025;;ämmaemanda vastuvõtt (emakakaelavähi sõeluuring);;;0;16.12.2016;31.12.2022;;1;;N600;ämmaemand
ASG026;;õe vastuvõtt günekoloogia erialal;;;0;16.12.2016;;;1;;N500;õde
ASG027;;õe vastuvõtt günekoloogia erialal (toitumisnõustamine);;;0;16.12.2016;22.12.2020;03.03.2017;1;;N500;õde
ASG028;;günekoloogi vastuvõtt (endokrinoloog);;;0;16.12.2016;;;1;;E370;sünnitusabi ja günekoloogia
ASG029;;günekoloogi vastuvõtt (kolposkoopia);;;0;16.12.2016;;;1;;E370;sünnitusabi ja günekoloogia
ASG030;;günekoloogi vastuvõtt (minihüsteroskoopia);;;0;16.12.2016;;;1;;E370;sünnitusabi ja günekoloogia
ASG031;;ämmaemanda vastuvõtt (diabeet);;;0;16.12.2016;;;1;;N600;ämmaemand
ASG032;;ämmaemanda vastuvõtt (immuniseerimine);;;0;16.12.2016;;;1;;N600;ämmaemand
ASG033;;ämmaemanda vastuvõtt (raseduse jälgimine);;;0;03.03.2017;;;1;;N600;ämmaemand
ASG034;;ämmaemanda vastuvõtt (sünnitusjärgne kontroll);;;0;22.12.2020;;;1;;N600;ämmaemand
ASG035;;ämmaemanda vastuvõtt (rindade kontroll);;;0;22.12.2020;;;1;;N600;ämmaemand
ASG036;;ämmaemanda vastuvõtt (raseduse kinnitamine);;;0;22.12.2020;;;1;;N600;ämmaemand
ASG037;;ämmaemanda vastuvõtt (rinnahaigete nõustamine);;;0;22.12.2020;;;1;;N600;ämmaemand
ASG038;;günekoloogi vastuvõtt (emakakaelavähi sõeluuring);;;0;07.12.2021;31.12.2022;;1;;E370;sünnitusabi ja günekoloogia
ASG039;;günekoloogi vastuvõtt (noorte seksuaaltervis);;;0;18.04.2022;;;1;;E370;sünnitusabi ja günekoloogia
ASG040;;ämmaemanda vastuvõtt (noorte seksuaaltervis);;;0;18.04.2022;;;1;;N600;ämmaemand
ASG041;;emakakaelavähi sõeluuring;;;0;02.05.2022;;;1;;;
ASI001;;sisehaiguste arsti vastuvõtt;;;0;16.12.2016;;;1;;E360;sisehaigused
ASI002;;sisehaiguste arsti vastuvõtt (rasedad);;;0;16.12.2016;;;1;;E360;sisehaigused
ASI003;;sisehaiguste arsti vastuvõtt (bariaatria);;;0;16.12.2016;;;1;;E360;sisehaigused
ASI004;;sisehaiguste arsti vastuvõtt (luud-liigesed);;;0;16.12.2016;;;1;;E360;sisehaigused
ASI005;;sisehaiguste arsti vastuvõtt (tromboos);;;0;16.12.2016;;;1;;E360;sisehaigused
ASI006;;geriaatri vastuvõtt;;;0;16.12.2016;;;1;;E660;sisehaigused – geriaatria
ASI007;;õe vastuvõtt sisehaiguste erialal;;;0;16.12.2016;;;1;;N500;õde
ASI008;;õe vastuvõtt sisehaiguste erialal (toitumisnõustamine);;;0;16.12.2016;22.12.2020;03.03.2017;1;;N500;õde
ASI009;;õe vastuvõtt sisehaiguste erialal (hepatiit);;;0;16.12.2016;;;1;;N500;õde
ASI010;;õe vastuvõtt sisehaiguste erialal (tromboos);;;0;16.12.2016;;;1;;N500;õde
ASI011;;õe vastuvõtt sisehaiguste erialal (kliiniline toitmine);;;0;16.03.2018;22.12.2020;;1;;N500;õde
ASI012;;sisehaiguste arsti vastuvõtt (kliiniline toitmine);;;0;16.03.2018;22.12.2020;;1;;E360;sisehaigused
ASI013;;sisehaiguste arsti vastuvõtt (vähihaiged);;;0;22.12.2020;;;1;;E360;sisehaigused
ASN001;;suu-, näo-ja lõualuukirurgi vastuvõtt;;;0;16.12.2016;;;1;;E440;suu-, näo- ja lõualuukirurgia
ASN002;;suu-, näo-ja lõualuukirurgi vastuvõtt (huule- ja suulaelõhed);;;0;16.12.2016;;;1;;E440;suu-, näo- ja lõualuukirurgia
ASN003;;suu-, näo-ja lõualuukirurgi vastuvõtt (pea- ja kaela väärarendid);;;0;22.12.2020;;;1;;E440;suu-, näo- ja lõualuukirurgia
ASN004;;õe vastuvõtt suu-, näo- ja lõualuukirurgia erialal;;;0;22.12.2020;;;1;;N500;õde
ASP001;;spordimeditsiini arsti vastuvõtt;;;0;16.12.2016;;;1;;E610;füsiaatria ja taastusravi – spordimeditsiin
ASP002;;spordimeditsiini arsti vastuvõtt (noorsportlaste tervisekontroll);;;0;16.12.2016;;;1;;E610;füsiaatria ja taastusravi – spordimeditsiin
ASP003;;õe vastuvõtt spordimeditsiini erialal;;;0;16.12.2016;;;1;;N500;õde
AST001;;hambaarsti vastuvõtt;;;0;16.12.2016;;;1;;E430;hambaarst
AST002;;hambaarsti vastuvõtt (juureravi);;;0;16.12.2016;;;1;;E430;hambaarst
AST003;;hambaarsti vastuvõtt (igemeravi);;;0;16.12.2016;;;1;;E430;hambaarst
AST004;;laste hambaarsti vastuvõtt;;;0;16.12.2016;;;1;;E430;hambaarst
AST005;;hambaproteesiarsti vastuvõtt;;;0;16.12.2016;;;1;;E460;restauratiivne hambaravi 
AST006;;hambaproteesiarsti vastuvõtt (igemeravi);;;0;16.12.2016;;;1;;E460;restauratiivne hambaravi 
AST007;;hambaproteesiarsti vastuvõtt (implantaadid);;;0;16.12.2016;;;1;;E460;restauratiivne hambaravi 
AST008;;ortodondi vastuvõtt;;;0;16.12.2016;;;1;;E450;ortodontia
AST009;;ortodondi vastuvõtt (suulaelõhe);;;0;16.12.2016;;;1;;E450;ortodontia
AST010;;suuhügienisti vastuvõtt;;;0;16.12.2016;;;1;;;
AST011;;suukirurgi vastuvõtt;;;0;16.12.2016;;;1;;E440;suu-, näo- ja lõualuukirurgia
ATF001;;tegevusterapeudi vastuvõtt;;;0;16.12.2016;;;1;;S170;tegevusterapeut
ATF002;;füsioterapeudi vastuvõtt;;;0;16.12.2016;;;1;;S160;füsioterapeut
ATF003;;laste füsioterapeudi vastuvõtt;;;0;16.12.2016;;;1;;S160;füsioterapeut
ATF004;;taastusarsti vastuvõtt;;;0;16.12.2016;;;1;;E380;taastusravi ja füsiaatria
ATF005;;taastusarsti vastuvõtt (noorsportlase tervisekontroll);;;0;16.12.2016;;;1;;E380;taastusravi ja füsiaatria
ATF006;;taastusarsti vastuvõtt (proteesid);;;0;16.12.2016;;;1;;E380;taastusravi ja füsiaatria
ATF007;;õe vastuvõtt taastusravi erialal;;;0;16.12.2016;;;1;;N500;õde
ATF008;;taastusarsti vastuvõtt (spordidiagnostika);;;0;16.12.2016;;;1;;E380;taastusravi ja füsiaatria
ATF009;;taastusarsti vastuvõtt (ortopeedilised patsiendid);;;0;16.12.2016;;;1;;E380;taastusravi ja füsiaatria
ATF010;;laste taastusarsti vastuvõtt;;;0;16.12.2016;;;1;;E380;taastusravi ja füsiaatria
ATF011;;taastusarsti vastuvõtt (lümfiteraapia);;;0;16.03.2018;;;1;;E380;taastusravi ja füsiaatria
ATF012;;taastusarsti vastuvõtt (vaagnapõhja probleemid);;;0;22.12.2020;;;1;;E380;taastusravi ja füsiaatria
ATF013;;taastusarsti vastuvõtt (kõne- ja neelamishäired);;;0;22.12.2020;;;1;;E380;taastusravi ja füsiaatria
ATN001;;arsti vastuvõtt (toitumisnõustamine);;;0;22.12.2020;;;1;;E600;arst
ATN002;;õe vastuvõtt (toitumisnõustamine);;;0;22.12.2020;;;1;;N500;õde
ATN003;;arsti vastuvõtt (kliiniline toitmine);;;0;22.12.2020;;;1;;E600;arst
ATN004;;õe vastuvõtt (kliiniline toitmine);;;0;22.12.2020;;;1;;N500;õde
ATN005;;arsti vastuvõtt (toitumisnõustamine, lapsed);;;0;22.12.2020;;;1;;E600;arst
ATN006;;õe vastuvõtt (toitumisnõustamine, lapsed);;;0;22.12.2020;;;1;;N500;õde
ATT001;;töötervishoiuarsti vastuvõtt;;;0;16.12.2016;;;1;;E400;töötervishoid
ATT002;;töötervishoiuarsti vastuvõtt (liiklusmeditsiini komisjon);;;0;16.12.2016;;;1;;E400;töötervishoid
ATT003;;õe vastuvõtt töötervishoiu erialal;;;0;16.12.2016;;;1;;N330;töötervishoiuõendus
ATT004;;tööhügieeniku vastuvõtt;;;0;16.12.2016;;;1;;;
AUR001;;uroloogi vastuvõtt;;;0;16.12.2016;;;1;;E410;uroloogia
AUR002;;õe vastuvõtt uroloogia erialal;;;0;16.12.2016;;;1;;N500;õde
AUR003;;õe vastuvõtt uroloogia erialal (inkontinents);;;0;16.12.2016;;;1;;N500;õde
AUR004;;õe vastuvõtt uroloogia erialal (epitsüstostoom);;;0;16.12.2016;;;1;;N500;õde
AUR005;;uroloogi vastuvõtt (urodünaamika);;;0;16.12.2016;;;1;;E410;uroloogia
AUR006;;uroloogi vastuvõtt (vähihaiged);;;0;22.12.2020;;;1;;E410;uroloogia
AUR007;;laste uroloogi vastuvõtt;;;0;15.08.2023;;;1;;E410;uroloogia
AVK001;;veresoontekirurgi vastuvõtt;;;0;16.12.2016;;;1;;E490;vaskulaarkirurgia
AVK002;;veresoontekirurgi vastuvõtt (arteriaalne patoloogia, veresoonte taastamine);;;0;16.12.2016;;16.03.2018;1;;E490;vaskulaarkirurgia
AYK001;;üldkirurgi vastuvõtt;;;0;16.12.2016;;;1;;E420;üldkirurgia
AYK002;;üldkirurgi vastuvõtt (proktoloog);;;0;16.12.2016;;;1;;E420;üldkirurgia
AYK003;;üldkirurgi vastuvõtt (bariaatria);;;0;16.12.2016;;;1;;E420;üldkirurgia
AYK004;;üldkirurgi vastuvõtt (veenilaiendid);;;0;16.12.2016;;;1;;E420;üldkirurgia
AYK005;;õe vastuvõtt kirurgia erialal;;;0;16.12.2016;;;1;;N500;õde
AYK006;;õe vastuvõtt kirurgia erialal (haavahooldus);;;0;16.12.2016;;;1;;N500;õde
AYK007;;õe vastuvõtt kirurgia erialal (stoomihooldus);;;0;16.12.2016;;;1;;N500;õde
AYK008;;onkokirurgi vastuvõtt;;;0;16.12.2016;;;1;;E420;üldkirurgia
AYK009;;õe vastuvõtt kirurgia erialal (bariaatria);;;0;03.03.2017;;;1;;N500;õde
AYK010;;õe vastuvõtt kirurgia erialal (kliiniline toitmine);;;0;16.03.2018;22.12.2020;;1;;N500;õde
AYK011;;üldkirurgi vastuvõtt (organsiirdamine);;;0;22.12.2020;;;1;;E420;üldkirurgia
