Kood;Lühinimetus;Nimetus;Pikk_nimetus (SNOMED CT FSN);Vanem_kood;Hierarhia_aste;Kehtivuse_alguse_kpv;Kehtivuse_lõpu_kpv;Viimane_muudatus_kpv;Muutja;Staatus;Selgitus;JSV kood VSR-i jaoks
207596014;;Jukstakortikaalne osteosarkoom;Juxtacortical osteosarcoma;;0;19.12.2016;30.09.2019;;Eesti Patoloogide Selts;0;;
46212000;;Juveniilne fibroadenoom;Juvenile fibroadenoma (morphologic abnormality);;0;19.12.2016;;;Eesti Patoloogide Selts;1;;
77029009;;Juveniilne granuloosrakuline kasvaja;Juvenile granulosa cell tumor (morphologic abnormality);;0;19.12.2016;;;Eesti Patoloogide Selts;1;;
83343001;;Juveniilne hemangioom;Capillary hemangioma (morphologic abnormality);;0;19.12.2016;;30.09.2019;Eesti Patoloogide Selts;1;Muudetud veerus nimetus: Kapillaarne hemangioom -> Juveniilne hemangioom;2- limaskesta low-grade neoplaasia
400031009;;Juveniilne ksantogranuloom;Juvenile xanthogranuloma (disorder);;0;19.12.2016;;;Eesti Patoloogide Selts;1;;
278388008;;Juveniilne luustuv fibroom;Juvenile ossifying fibroma (morphologic abnormality);;0;19.12.2016;;;Eesti Patoloogide Selts;1;;
128832006;;Juveniilne müelomonotsüütleukeemia;Juvenile myelomonocytic leukemia (morphologic abnormality);;0;19.12.2016;;;Eesti Patoloogide Selts;1;;
9273005;;Juveniilne polüpoos;Juvenile polyposis syndrome (disorder);;0;19.12.2016;;;Eesti Patoloogide Selts;1;;
110448004;;Juveniilne polüüp;Juvenile polyp (morphologic abnormality);;0;19.12.2016;;;Eesti Patoloogide Selts;1;;1- kasvajat ei ole
198113009;;Juveniilne rinna hüpertroofia;Pubertal breast hypertrophy (disorder);;0;19.12.2016;;;Eesti Patoloogide Selts;1;;
360441005;;Jämesoole aganglionoos;Aganglionosis of colon (disorder);;0;19.12.2016;;;Eesti Patoloogide Selts;1;;1- kasvajat ei ole
11256005;;Jämesoole melanoos;Melanosis coli (disorder);;0;19.12.2016;;;Eesti Patoloogide Selts;1;;
60475009;;Jäsemete kaasasündinud väärarend;Congenital anomaly of limb (disorder);;0;19.12.2016;;;Eesti Patoloogide Selts;1;;
72606009;;Kaasasündinud aneurüsm;Congenital aneurysm (morphologic abnormality);;0;19.12.2016;30.09.2019;;Eesti Patoloogide Selts;0;Tunnistatud kehtetuks, seda asendab 85659009 Aneurysm (morphologic abnormality);
56457002;;Kaasasündinud avausetus;Congenital atresia (morphologic abnormality);;0;19.12.2016;;;Eesti Patoloogide Selts;1;;
60498001;;Kaasasündinud B-hepatiit;Congenital viral hepatitis B infection (disorder);;0;19.12.2016;;;Eesti Patoloogide Selts;1;;
82037003;;Kaasasündinud divertiikul;Congenital diverticulum (morphologic abnormality);;0;19.12.2016;;;Eesti Patoloogide Selts;1;;
25283002;;Kaasasündinud düsplaasia;Congenital dysplasia (morphologic abnormality);;0;19.12.2016;30.09.2019;;Eesti Patoloogide Selts;0;;
82821008;;Kaasasündinud ekstrahepaatiline biliaararteesia;Congenital atresia of extrahepatic bile duct (disorder);;0;19.12.2016;;;Eesti Patoloogide Selts;1;;
16297002;;Kaasasündinud hüdronefroos;Congenital hydronephrosis (disorder);;0;19.12.2016;;;Eesti Patoloogide Selts;1;;
50493007;;Kaasasündinud hüperplaasia;Congenital hyperplasia (morphologic abnormality);;0;19.12.2016;30.09.2019;;Eesti Patoloogide Selts;0;Tunnistatud kehtetuks, seda asendab 76197007 Hyperplasia (morphologic abnormality);1- kasvajat ei ole
90141005;;Kaasasündinud hüpertroofia;Congenital hypertrophy (morphologic abnormality);;0;19.12.2016;30.09.2019;;Eesti Patoloogide Selts;0;Tunnistatud kehtetuks, seda asendab 56246009 Hypertrophy (morphologic abnormality);
38146002;;Kaasasündinud hüpoplaasia;Congenital hypoplasia (morphologic abnormality);;0;19.12.2016;30.09.2019;;Eesti Patoloogide Selts;0;Tunnistatud kehtetuks, seda asendab 55199003 Hypoplasia (morphologic abnormality);
360525006;;Igeme kongenitaalne granulaarrakuline kasvaja;Congenital gingival granular cell tumor (disorder);;0;19.12.2016;;30.09.2019;Eesti Patoloogide Selts;1;Muudetud veerus Nimetus: Kaasasündinud igeme granulaarrakuline kasvaja-> Igeme kongenitaalne granulaarrakuline kasvaja;
111331000;;Kaasasündinud lobaarsete intrahepaatiliste sapiteede laienemine;Congenital dilatation of lobar intrahepatic bile duct (disorder);;0;19.12.2016;;;Eesti Patoloogide Selts;1;;
79607001;;Kaasasündinud maksafibroos;Congenital hepatic fibrosis (disorder);;0;19.12.2016;;;Eesti Patoloogide Selts;1;;
172069000;;Kaasasündinud meningotseele;Congenital meningocele (disorder);;0;19.12.2016;;;Eesti Patoloogide Selts;1;;
18735004;;Kaasasündinud nabasong;Congenital omphalocele (disorder);;0;19.12.2016;;;Eesti Patoloogide Selts;1;;
48796009;;Kaasasündinud nefrootiline sündroom;Congenital nephrotic syndrome (disorder);;0;19.12.2016;;;Eesti Patoloogide Selts;1;;
10115009;;Kaasasündinud osaline hüpoplaasia;Congenital partial hypoplasia (morphologic abnormality);;0;19.12.2016;30.09.2019;;Eesti Patoloogide Selts;0;Tunnistatud kehtetuks, seda asendab 55199003 Hypoplasia (morphologic abnormality);
128347007;;Kaasasündinud seedetrakti väärarend;Congenital anomaly of gastrointestinal tract (disorder);;0;19.12.2016;;;Eesti Patoloogide Selts;1;;
111318005;;Kaasasündinud tsüstiline adenomatoidne kopsuväärarend;Congenital cystic adenomatoid malformation of lung (disorder);;0;19.12.2016;;;Eesti Patoloogide Selts;1;;
17190001;;Kaasasündinud vahelihase song;Congenital diaphragmatic hernia (disorder);;0;19.12.2016;;;Eesti Patoloogide Selts;1;;
399928000;;Kaasasündinud vaskulaarne malformatsioon;Congenital vascular malformation - mass (morphologic abnormality);;0;19.12.2016;;;Eesti Patoloogide Selts;1;;
206372007;;Kaasasündinud viirushepatiit;Congenital viral hepatitis (disorder);;0;19.12.2016;;;Eesti Patoloogide Selts;1;;
107656002;;Kaasasündinud väärarend;Congenital anomaly (morphologic abnormality);;0;19.12.2016;30.09.2019;;Eesti Patoloogide Selts;0;Tunnistatud kehtetuks, seda asendab 276654001 Congenital malformation (disorder);
416286003;;Kaasasündinud väärasetsus;Congenital ectopia (morphologic abnormality);;0;19.12.2016;;;Eesti Patoloogide Selts;1;;
82525005;;Kaasasündinud tsüstiline neeruhaigus;Congenital cystic kidney disease (disorder);;0;19.12.2016;;29.11.2018;Eesti Patoloogide Selts;1;Korrigeeritud eestikeelset nimetust: Kaasaündinud tsüstiline neeruhaigus -> Kaasasündinud tsüstiline neeruhaigus;
40052002;;Kaela kaasasündinud väärarend;Congenital anomaly of neck (disorder);;0;19.12.2016;;;Eesti Patoloogide Selts;1;;
57014008;;Kaela kongenitaalne fistel;Fistula colli congenita (disorder);;0;19.12.2016;;;Eesti Patoloogide Selts;1;;
31401003;;Kahesarveline emakas;Bicornuate uterus (disorder);;0;19.12.2016;;;Eesti Patoloogide Selts;1;;
49496001;;Kaksikureeter;Double ureter (disorder);;0;19.12.2016;;;Eesti Patoloogide Selts;1;;
60574005;;Kaksikute platsenta;Twin placenta (disorder);;0;19.12.2016;;;Eesti Patoloogide Selts;1;;
235700007;;Kaksteistsõrmiksoole Brunneri näärmete hüperplaasia;Hyperplasia of Brunner glands of duodenum (disorder);;0;19.12.2016;;;Eesti Patoloogide Selts;1;;
125369001;;Kaltsifikaat;Focal calcium deposition, calcified structure (morphologic abnormality);;0;19.12.2016;;;Eesti Patoloogide Selts;1;;
703614006;;Kaltsifitseeruv aponeuroosi fibroom;Calcifying aponeurotic fibroma (disorder);;0;19.12.2016;30.09.2019;;Eesti Patoloogide Selts;0;Tunnistatud kehtetuks, seda asendab 703612005 Calcifying aponeurotic fibroma (morphologic abnormality);
95414005;;Kaltsifitseeruv tendiniit;Calcific tendinitis (disorder);;0;19.12.2016;;;Eesti Patoloogide Selts;1;;
6595006;;Kaltsinoos;Calcinosis (disorder);;0;19.12.2016;;;Eesti Patoloogide Selts;1;;
128641003;;Kanalikulaarne adenoom;Canalicular adenoma (morphologic abnormality);;0;19.12.2016;;;Eesti Patoloogide Selts;1;;
78048006;;Kandidoos;Candidiasis (disorder);;0;19.12.2016;;;Eesti Patoloogide Selts;1;;1- kasvajat ei ole
11467009;;Kapillaarne lümfangioom;Capillary lymphangioma (morphologic abnormality);;0;19.12.2016;;;Eesti Patoloogide Selts;1;;
49937004;;Kaposi sarkoom;Kaposi's sarcoma, morphology (morphologic abnormality);;0;19.12.2016;31.05.2022;29.11.2018;Eesti Patoloogide Selts;0;Tunnistatud kehtetuks, seda asendab 1179374007 Kaposi sarcoma (morphologic abnormality);4- vähk
372149006;;Kaposi sarkoom, metastaatiline;Kaposi's sarcoma, metastatic (morphologic abnormality);;0;19.12.2016;;;Eesti Patoloogide Selts;1;;4- vähk
74669004;;Kardiaalne maksatsirroos;Cardiac cirrhosis (disorder);;0;19.12.2016;;;Eesti Patoloogide Selts;1;;
31396002;;Karikrakuline kartsinoid;Goblet cell carcinoid (morphologic abnormality);;0;19.12.2016;28.04.2020;;Eesti Patoloogide Selts;0;;
30699005;;Karotiidkeha paraganglioom;Carotid body tumor (morphologic abnormality);;0;19.12.2016;;30.09.2019;Eesti Patoloogide Selts;1;Muudetud veerus nimetus: Karotiidkeha kasvaja -> Karotiidkeha paraganglioom;
128751007;;Kartsinofibroom;Carcinofibroma (morphologic abnormality);;0;19.12.2016;;;Eesti Patoloogide Selts;1;;
7010000;;Kartsinomatoos;Carcinomatosis (morphologic abnormality);;0;19.12.2016;;;Eesti Patoloogide Selts;1;;4- vähk
68956006;;Kartsinoom in situ;Carcinoma in situ, no International Classification of Diseases for Oncology subtype (morphologic abnormality);;0;19.12.2016;31.05.2022;29.11.2018;Eesti Patoloogide Selts;0;Tunnistatud kehtetuks, seda asendab 1187138006 Carcinoma in situ (morphologic abnormality);4- vähk
17264009;;Kartsinoom pleomorfsest adenoomist;Carcinoma ex pleomorphic adenoma (morphologic abnormality);;0;19.12.2016;;;Eesti Patoloogide Selts;1;;
128720000;;Kartsinoom tüümusetaoliste elementidega;Carcinoma showing thymus-like element (morphologic abnormality);;0;19.12.2016;;;Eesti Patoloogide Selts;1;;
24505004;;Kartsinoom, difuusne tüüp;Carcinoma, diffuse type (morphologic abnormality);;0;19.12.2016;;;Eesti Patoloogide Selts;1;;4- vähk
68453008;;Kartsinoom, teisiti täpsustamata;Carcinoma, no subtype (morphologic abnormality);;0;19.12.2016;31.05.2022;;Eesti Patoloogide Selts;0;Tunnistatud kehtetuks, seda asendab 1187425009 Carcinoma (morphologic abnormality);4- vähk
63264007;;Kartsinosarkoom;Carcinosarcoma (morphologic abnormality);;0;19.12.2016;;;Eesti Patoloogide Selts;1;;4- vähk
77126004;;Karunkul;Abnormal caruncle (morphologic abnormality);;0;19.12.2016;;;Eesti Patoloogide Selts;1;;
5132005;;Karvakeratoos;Keratosis pilaris (disorder);;0;19.12.2016;;;Eesti Patoloogide Selts;1;;
239144007;;Karvapüstitajalihase hamartoom;Congenital erector pili hamartoma (disorder);;0;19.12.2016;;;Eesti Patoloogide Selts;1;;
254693008;;Karvatupe akantoom;Pilar sheath acanthoma (disorder);;0;19.12.2016;;;Eesti Patoloogide Selts;1;;
54087003;;Karvrakkleukeemia;Hairy cell leukemia (morphologic abnormality);;0;19.12.2016;;;Eesti Patoloogide Selts;1;;
54484003;;Karüopüknoos;Karyopyknosis (morphologic abnormality);;0;19.12.2016;;;Eesti Patoloogide Selts;1;;
34064004;;Karüoreeks;Karyorrhexis (morphologic abnormality);;0;19.12.2016;;;Eesti Patoloogide Selts;1;;
33940009;;Kaseoosne nekroos;Caseous necrosis (morphologic abnormality);;0;19.12.2016;;;Eesti Patoloogide Selts;1;;
79974007;;Kassikriimustustõbi;Cat scratch disease (disorder);;0;19.12.2016;;;Eesti Patoloogide Selts;1;;
370109009;;Kasvaja on operatsioonipiiril;Surgical margin involved by tumor (finding);;0;19.12.2016;;;Eesti Patoloogide Selts;1;;
369731000;;Kasvaja perineuraalne invasioon;Perineural invasion by tumor present (finding);;0;19.12.2016;;;Eesti Patoloogide Selts;1;;
370051000;;Kasvaja perineuraalset invasiooni ei ole;Perineural invasion by tumor absent (finding);;0;19.12.2016;;;Eesti Patoloogide Selts;1;;
396393005;;Kasvaja perineuraalset invasiooni ei saa määrata;Perineural invasion by tumor indeterminate (finding);;0;19.12.2016;;;Eesti Patoloogide Selts;1;;
372287009;;Kasvaja vaskulaarne invasioon;Vascular invasion by tumor present (finding);;0;19.12.2016;;;Eesti Patoloogide Selts;1;;
127494000;;Kasvaja vaskulaarset invasiooni ei ole;No vascular invasion by tumor (finding);;0;19.12.2016;;;Eesti Patoloogide Selts;1;;
127495004;;Kasvaja vaskulaarset invasiooni ei saa määrata;Vascular invasion by tumor is indeterminate (finding);;0;19.12.2016;;;Eesti Patoloogide Selts;1;;
86251006;;Kasvaja, hea- või pahaloomuline, ebaselge;Neoplasm of uncertain behavior (morphologic abnormality);;0;19.12.2016;;31.05.2022;Eesti Patoloogide Selts;1;Korrigeeritud SNOMED CT FSN: Neoplasm, uncertain whether benign or malignant (morphologic abnormality) -> Neoplasm of uncertain behavior (morphologic abnormality);
3898006;;Kasvaja, healoomuline;Neoplasm, benign (morphologic abnormality);;0;19.12.2016;;;Eesti Patoloogide Selts;1;;
14799000;;Kasvaja, metastaatiline;Neoplasm, metastatic (morphologic abnormality);;0;19.12.2016;;;Eesti Patoloogide Selts;1;;4- vähk
86049000;;Kasvaja, pahaloomuline;Malignant neoplasm, primary (morphologic abnormality);;0;19.12.2016;30.05.2023;;Eesti Patoloogide Selts;0;Tunnistatud kehtetuks, seda asendab 1240414004 Malignant neoplasm (morphologic abnormality);4- vähk
6219000;;Kasvaja, pahaloomuline, ebaselge, kas primaarne või metastaatiline;Neoplasm, malignant, uncertain whether primary or metastatic (morphologic abnormality);;0;19.12.2016;;;Eesti Patoloogide Selts;1;;4- vähk
448128007;;Kasvajaline tromb;Tumor thrombus (morphologic abnormality);;0;19.12.2016;;;Eesti Patoloogide Selts;1;;
39577004;;Kasvajarakud, hea- või pahaloomulised, ebaselge;Tumor cells of uncertain behavior (morphologic abnormality);;0;19.12.2016;;31.05.2022;Eesti Patoloogide Selts;1;Korrigeeritud SNOMED CT FSN: Tumor cells, uncertain whether benign or malignant (morphologic abnormality) -> Tumor cells of uncertain behavior (morphologic abnormality);
56696000;;Kasvajarakud, healoomulised;Tumor cells, benign (morphologic abnormality);;0;19.12.2016;;;Eesti Patoloogide Selts;1;;
88400008;;Kasvajarakud, pahaloomulised;Tumor cells, malignant (morphologic abnormality);;0;19.12.2016;;;Eesti Patoloogide Selts;1;;
396528005;;Kasvajat operatsioonipiiril ei saa määrata;Surgical margin involvement by tumor indeterminate (finding);;0;19.12.2016;;;Eesti Patoloogide Selts;1;;
75053002;;Kawasaki haigus;Acute febrile mucocutaneous lymph node syndrome (disorder);;0;19.12.2016;;;Eesti Patoloogide Selts;1;;
33377007;;Kavernoosne hemangioom;Cavernous hemangioma (morphologic abnormality);;0;19.12.2016;;;Eesti Patoloogide Selts;1;;2- limaskesta low-grade neoplaasia
89056007;;Kavernoosne lümfangioom;Cavernous lymphangioma (morphologic abnormality);;0;19.12.2016;;;Eesti Patoloogide Selts;1;;
5126000;;Keele lehtpapillide hüpertroofia;Hypertrophy of foliate papillae (disorder);;0;19.12.2016;;;Eesti Patoloogide Selts;1;;
403455006;;Keele traumaatiline ultseratiivne granuloom strooma eosinofiiliaga;Traumatic ulcerative granuloma of tongue with stromal eosinophilia (disorder);;0;19.12.2016;;;Eesti Patoloogide Selts;1;;
36151004;;Keemiline ösofagiit;Chemical esophagitis (disorder);;0;19.12.2016;;;Eesti Patoloogide Selts;1;;
58405006;;Keloid;Keloid (morphologic abnormality);;0;19.12.2016;;;Eesti Patoloogide Selts;1;;
41704900;;Keratoakantoom;Localized keratoacanthoma (morphologic abnormality);;0;19.12.2016;11.09.2017;;Eesti Patoloogide Selts;0;Tunnistatud kehtetuks kuna oli vigane Kood. Lisatud sama diagnoos uue, korrektse koodiga 417049003.;
417049003;;Keratoakantoom;Localized keratoacanthoma (morphologic abnormality);;0;11.09.2017;;;Eesti Patoloogide Selts;1;Asendab vigase koodiga 41704900 diagnoosi.;
95269005;;Keratoos huuletubakast;Smokeless tobacco keratosis (disorder);;0;19.12.2016;;;Eesti Patoloogide Selts;1;;
399547009;;Keratootiline basaalrakuline kartsinoom;Keratotic basal cell carcinoma (morphologic abnormality);;0;19.12.2016;;;Eesti Patoloogide Selts;1;;
55006001;;Kerge ahela nefropaatia;Light chain nephropathy (disorder);;0;19.12.2016;;;Eesti Patoloogide Selts;1;;
43185009;;Kerge düsplaasia;Mild dysplasia (morphologic abnormality);;0;19.12.2016;;;Eesti Patoloogide Selts;1;;2- limaskesta low-grade neoplaasia
88948004;;Kerge näärmeepiteeli rakkude atüüpia;Mild glandular cell atypia (morphologic abnormality);;0;19.12.2016;;13.12.2018;Eesti Patoloogide Selts;1;Lisatud JSV kood VSR-i jaoks;2- limaskesta low-grade neoplaasia
103622007;;Kerge põletik;Mild inflammation (morphologic abnormality);;0;19.12.2016;;;Eesti Patoloogide Selts;1;;1- kasvajat ei ole
43620002;;Kerge põletikuline atüüpia;Mild inflammatory atypia (morphologic abnormality);;0;19.12.2016;;30.09.2019;Eesti Patoloogide Selts;1;Lisatud JSV kood VSR-i jaoks;1- kasvajat ei ole
51206004;;Kerge tsütoloogiline atüüpia;Mild cytologic atypia (morphologic abnormality);;0;19.12.2016;;13.12.2018;Eesti Patoloogide Selts;1;Lisatud JSV kood VSR-i jaoks;2- limaskesta low-grade neoplaasia
73103007;;Keskkõrvapolüüp;Polyp of middle ear (disorder);;0;19.12.2016;;;Eesti Patoloogide Selts;1;;
65363002;;Keskkõrvapõletik;Otitis media (disorder);;0;19.12.2016;;;Eesti Patoloogide Selts;1;;
448736007;;Keskproliferatiivne endomeetrium;Midproliferative endometrium (morphologic abnormality);;0;19.12.2016;;;Eesti Patoloogide Selts;1;;
449165002;;Kesksekretoorne endomeetrium;Midsecretory endometrium (morphologic abnormality);;0;19.12.2016;;;Eesti Patoloogide Selts;1;;
125362005;;Kesktsooni nekroos;Midzonal necrosis (morphologic abnormality);;0;19.12.2016;;;Eesti Patoloogide Selts;1;;
73728008;;Kiirenenud küpsemine;Maturation acceleration (morphologic abnormality);;0;19.12.2016;;;Eesti Patoloogide Selts;1;;
445145001;;Kiiritusest põhjustatud nekroos;Necrosis caused by ionizing radiation (disorder);;0;19.12.2016;;;Eesti Patoloogide Selts;1;;
53222009;;Kiiritusest tingitud reaktiivsed rakulised muutused;Reactive cellular changes associated with radiation (morphologic abnormality);;0;19.12.2016;;;Eesti Patoloogide Selts;1;;
35944002;;Kiiritushaavand;Radiation ulcer (morphologic abnormality);;0;19.12.2016;;;Eesti Patoloogide Selts;1;;
53476006;;Kiiritushepatiit;Radiation hepatitis (disorder);;0;19.12.2016;;;Eesti Patoloogide Selts;1;;
34081008;;Kiiritusjärgsed düsplastilised tsütoloogilised muutused;Post-radiation cytologic changes with dysplasia (morphologic abnormality);;0;19.12.2016;;30.11.2021;Eesti Patoloogide Selts;1;Eemaldatud liigne tühik eestikeelses nimetuses;
24803000;;Kiirituskahjustus;Injury caused by exposure to ionizing radiation (disorder);;0;19.12.2016;;;Eesti Patoloogide Selts;1;;
11251000;;Kiiritustsüstiit;Irradiation cystitis (disorder);;0;19.12.2016;;;Eesti Patoloogide Selts;1;;
235605005;;Kiiritusösofagiit;Radiation esophagitis (disorder);;0;19.12.2016;;;Eesti Patoloogide Selts;1;;
128678000;;Kilpnäärme medullaar-follikulaarne kartsinoom;Mixed medullary-follicular carcinoma (morphologic abnormality);;0;19.12.2016;;;Eesti Patoloogide Selts;1;;
128916007;;Kilpnäärme medullaarne kartsinoom;Medullary carcinoma with amyloid stroma (morphologic abnormality);;0;19.12.2016;;;Eesti Patoloogide Selts;1;;
21279007;;Kilpnäärmekude keeles;Lingual thyroid (disorder);;0;19.12.2016;;;Eesti Patoloogide Selts;1;;
103646000;;Kindlaksmääramata tähendusega atüüpilised endomeetriumi rakud (AGC-NOS);Atypical endometrial cells of undetermined significance (morphologic abnormality);;0;19.12.2016;;;Eesti Patoloogide Selts;1;;
103643008;;Kindlaksmääramata tähendusega atüüpilised endotservikaalsed rakud (AGC-NOS);Atypical endocervical cells of undetermined significance (morphologic abnormality);;0;19.12.2016;;;Eesti Patoloogide Selts;1;;
39035006;;Kindlaksmääramata tähendusega atüüpilised lameepiteeli rakud (ASC-US);Atypical squamous cells of undetermined significance (morphologic abnormality);;0;19.12.2016;;;Eesti Patoloogide Selts;1;;
4476003;;Kindlaksmääramata tähendusega atüüpilised näärmeepiteeli rakud (AGC-NOS);Atypical glandular cells of undetermined significance (morphologic abnormality);;0;19.12.2016;;;Eesti Patoloogide Selts;1;;
103635003;;Kindlaksmääramata tähendusega atüüpilised rakud;Atypical cells of undetermined significance (morphologic abnormality);;0;19.12.2016;;;Eesti Patoloogide Selts;1;;
5050001;;Kirsshemangioom;Senile angioma (disorder);;0;19.12.2016;;;Eesti Patoloogide Selts;1;;
125319009;;Kirurgiline fistul;Surgical fistula (morphologic abnormality);;0;19.12.2016;;;Eesti Patoloogide Selts;1;;
110403003;;Kirurgiline koeimplantaat;Surgical tissue implant (morphologic abnormality);;0;19.12.2016;;;Eesti Patoloogide Selts;1;;
56381008;;Kivi;Calculus (morphologic abnormality);;0;19.12.2016;;;Eesti Patoloogide Selts;1;;1- kasvajat ei ole
66058000;;Kivitõbi;Lithiasis (morphologic abnormality);;0;19.12.2016;;;Eesti Patoloogide Selts;1;;1- kasvajat ei ole
128630000;;Klaasrakuline adenoskvamoosne kartsinoom;Glassy cell carcinoma (morphologic abnormality);;0;19.12.2016;;;Eesti Patoloogide Selts;1;;
699703008;;Klassikaline medulloblastoom;Classic medulloblastoma (morphologic abnormality);;0;19.12.2016;;;Eesti Patoloogide Selts;1;;
6492006;;Klatskini kasvaja;Klatskin's tumor (morphologic abnormality);;0;19.12.2016;;;Eesti Patoloogide Selts;1;;
417443008;;Klebsiella granulomatis;Klebsiella granulomatis (organism);;0;19.12.2016;;;Eesti Patoloogide Selts;1;;
84570003;;Kloakogeenne kartsinoom;Cloacogenic carcinoma (morphologic abnormality);;0;19.12.2016;;;Eesti Patoloogide Selts;1;;4- vähk
32224006;;Koagulatsiooninekroos;Coagulative necrosis (morphologic abnormality);;0;19.12.2016;;;Eesti Patoloogide Selts;1;;
14156004;;Kobaraneurüsm;Racemose aneurysm (morphologic abnormality);;0;19.12.2016;;;Eesti Patoloogide Selts;1;;
405752007;;Kodade vaheseina kaasasündinud defekt;Congenital atrial septal defect (disorder);;0;19.12.2016;;;Eesti Patoloogide Selts;1;;
103681003;;Koeparanemisehäire;Impaired tissue repair (morphologic abnormality);;0;19.12.2016;;;Eesti Patoloogide Selts;1;;
128669006;;Kogumistorukeste kartsinoom;Collecting duct carcinoma (morphologic abnormality);;0;19.12.2016;;;Eesti Patoloogide Selts;1;;
14391000;;Koilotsütaarne atüüpia;Koilocytotic atypia (morphologic abnormality);;0;19.12.2016;;11.09.2017;Eesti Patoloogide Selts;1;Muudetud veerus Nimetus eestikeelset nimetust Koilotsütootiline atüüpia -> Koilotsütaarne atüüpia;
82403002;;Kolangiit;Cholangitis (disorder);;0;19.12.2016;;;Eesti Patoloogide Selts;1;;
370489002;;Kolangiohepatiit;Cholangiohepatitis (disorder);;0;19.12.2016;;;Eesti Patoloogide Selts;1;;
70179006;;Kolangiokartsinoom;Cholangiocarcinoma (morphologic abnormality);;0;19.12.2016;;;Eesti Patoloogide Selts;1;;
125568005;;Koldeline fibromatoos;Focal fibromatosis (morphologic abnormality);;0;19.12.2016;;;Eesti Patoloogide Selts;1;;
55294001;;Koldeline maksanekroos;Focal hepatic necrosis (disorder);;0;19.12.2016;;;Eesti Patoloogide Selts;1;;
52739002;;Koldeline nekroos;Focal necrosis (morphologic abnormality);;0;19.12.2016;;;Eesti Patoloogide Selts;1;;
22995004;;Koldeline nodulaarne hüperplaasia;Focal nodular hyperplasia (morphologic abnormality);;0;19.12.2016;;;Eesti Patoloogide Selts;1;;
125555002;;Koldeline proliferatsioon;Focal proliferation (morphologic abnormality);;0;19.12.2016;;;Eesti Patoloogide Selts;1;;
123630003;;Koldeline äge põletik;Focal acute inflammation (morphologic abnormality);;0;19.12.2016;;;Eesti Patoloogide Selts;1;;1- kasvajat ei ole
33688009;;Kolestaas;Cholestasis (finding);;0;19.12.2016;;;Eesti Patoloogide Selts;1;;
271440004;;Kolestaasist põhjustatud sekundaarne maksatsirroos;Cirrhosis secondary to cholestasis (disorder);;0;19.12.2016;;;Eesti Patoloogide Selts;1;;
95556007;;Kolestaatiline hepatiit;Cholestatic hepatitis (disorder);;0;19.12.2016;;;Eesti Patoloogide Selts;1;;
575006;;Kolesteatoom;Cholesteatoma (morphologic abnormality);;0;19.12.2016;;;Eesti Patoloogide Selts;1;;
48319001;;Kolesteroloos;Cholesterolosis (morphologic abnormality);;0;19.12.2016;;;Eesti Patoloogide Selts;1;;1- kasvajat ei ole
40487009;;Kolesteroolgranuloom;Cholesterol granuloma (morphologic abnormality);;0;19.12.2016;;;Eesti Patoloogide Selts;1;;1- kasvajat ei ole
46983009;;Kolesteroolpolüüp;Cholesterol polyp (morphologic abnormality);;0;19.12.2016;;;Eesti Patoloogide Selts;1;;1- kasvajat ei ole
268239009;;Kolju ja näoluude kaasasündinud väärarend;Congenital abnormality of skull and face bones (disorder);;0;19.12.2016;;;Eesti Patoloogide Selts;1;;
447298005;;Kollageenne sferuloos;Collagenous spherulosis (morphologic abnormality);;0;19.12.2016;;;Eesti Patoloogide Selts;1;;
19311003;;Kollagenoosne koliit;Collagenous colitis (disorder);;0;19.12.2016;;30.09.2019;Eesti Patoloogide Selts;1;Lisatud JSV kood VSR-i jaoks;1- kasvajat ei ole
386762009;;Kollaskeha tsüst;Corpus luteum cyst (disorder);;0;19.12.2016;;;Eesti Patoloogide Selts;1;;
82508008;;Kollikvatsioonnekroos;Liquefactive necrosis (morphologic abnormality);;0;19.12.2016;;;Eesti Patoloogide Selts;1;;
120426010;;Kolloidne adenokartsinoom;Colloid carcinoma;;0;19.12.2016;28.04.2020;;Eesti Patoloogide Selts;0;Tunnistatud kehtetuks, seda asendab 471000181105 Colloid adenocarcinoma (morphologic abnormality);
9287005;;Kolloidtsüst;Colloid cyst (morphologic abnormality);;0;19.12.2016;;;Eesti Patoloogide Selts;1;;
128789002;;Kordoidglioom;Chordoid glioma (morphologic abnormality);;0;19.12.2016;;30.05.2023;Eesti Patoloogide Selts;1;Muudetud eestikeelset nimetust:  Kolmanda vatsakese kordoidglioom -> Kordoidglioom;
52178006;;Kombineeritud maksarakuline ja kolangiokartsinoom;Combined hepatocellular carcinoma and cholangiocarcinoma (morphologic abnormality);;0;19.12.2016;;;Eesti Patoloogide Selts;1;;
402552003;;Kombineeritud neevus;Combined melanocytic nevus (disorder);;0;19.12.2016;;;Eesti Patoloogide Selts;1;;
448546006;;Kombineeritud suurerakuline neuroendokriinne kartsinoom;Combined large cell neuroendocrine carcinoma (morphologic abnormality);;0;19.12.2016;;;Eesti Patoloogide Selts;1;;
21326004;;Kombineeritud väikserakuline kartsinoom;Combined small cell carcinoma (morphologic abnormality);;0;19.12.2016;;;Eesti Patoloogide Selts;1;;
74584000;;Kompensatoorne regeneratsioon;Compensatory regeneration (morphologic abnormality);;0;19.12.2016;;;Eesti Patoloogide Selts;1;;
