Tasandi nimetus;Kood;Nimetus;Pikk_nimetus;Vanem_kood;Hierarhia_aste;Kehtivuse_alguse_kpv;Kehtivuse_lõpu_kpv;Viimane_muudatus_kpv;Staatus;Selgitus;;;;;
3. tasand;ENA;Neelu ja temaga külgnevate struktuuride intsisioon ja biopsia;;;2;01.01.2003;;;1;;;;;;
kood;ENA00;Neelu sisemine intsisioon;Internal incision of pharynx;;3;01.01.2003;;;1;;;;;;
kood;ENA10;Neelu biopsia;Biopsy of pharynx;;3;01.01.2003;;;1;;;;;;
kood;ENA20;Farüngotoomia;Pharyngotomy;;3;01.01.2003;;;1;;;;;;
kood;ENA30;Farüngostoomia;Pharyngostomy;;3;01.01.2003;;;1;;;;;;
kood;ENA32;Parafarüngeaalse süvapõletiku kolde avamine;Incision of deep pharyngeal infection;;3;01.01.2022;;;1;;;;;;
3. tasand;ENB;Neelu ja temaga külgnevate struktuuride ekstsisioon;;;2;01.01.2003;;;1;;;;;;
kood;ENB00;Neelu lesiooni ekstsisioon või eksploratsioon;Excision or exploration of lesion of pharynx;;3;01.01.2003;;;1;;;;;;
kood;ENB10;Hüpofaarünksi divertikli ekstsisioon;Excision of diverticulum of hypopharynx;;3;01.01.2003;;;1;;;;;;
kood;ENB20;Farüngektoomia;Pharyngectomy;;3;01.01.2003;;;1;;;;;;
kood;ENB30;Larüngofarüngektoomia;Laryngopharyngectomy;;3;01.01.2003;;;1;;;;;;
kood;ENB40;Branhiaalse tsüsti või fistuli ekstsisioon;Excision of branchial cyst or fistula;;3;01.01.2003;;;1;;;;;;
kood;ENB50;Türoglossaalse juha tsüsti või fistuli ekstsisioon;Excision of cyst or fistula of thyroglossic duct;;3;01.01.2003;;;1;;;;;;
kood;ENB60;Processus styloidus’ e ekstsisioon;Excision of styloid process;;3;01.01.2003;;;1;;;;;;
kood;ENB99;Neelu ja temaga külgnevate struktuuride muu ekstsisioon;Other excision of pharynx and adjacent structures;;3;01.01.2003;;;1;;;;;;
3. tasand;ENC;Rekonstruktiivsed operatsioonid neelul ja temaga külgnevatel struktuuridel;;;2;01.01.2003;;;1;;;;;;
kood;ENC00;Neelu ja temaga külgnevate struktuuride suturatsioon;Suture of pharynx and adjacent structures;;3;01.01.2003;;;1;;;;;;
kood;ENC10;Võõrkeha eemaldamine neelust;Removal of foreign body from pharynx;;3;01.01.2003;;;1;;;;;;
kood;ENC20;Krikofarüngeaallihase müotoomia;Myotomy of cricopharyngeal muscle;;3;01.01.2003;;;1;;;;;;
kood;ENC30;Neelu plastiline operatsioon;Plastic operation of pharynx;;3;01.01.2003;;;1;;;;;;
kood;ENC40;Uvulopalatofarüngoplastika;Uvulopalatopharyngoplasty;;3;01.01.2003;;;1;;;;;;
kood;ENC50;Neelufistuli sulgemine;Closure of fistula of pharynx;;3;01.01.2003;;;1;;;;;;
kood;ENC60;Neelu liidetest vabastamine;Freeing of adhesions of pharynx;;3;01.01.2003;;;1;;;;;;
kood;ENC70;Endoskoopiline divertikulo-hüpofarüngostoomia;Endoscopic diverticulo-hypopharyngostomy;;3;01.01.2003;;;1;;;;;;
kood;ENC80;Pehme suulae plastika häälehäire raviks;Plastic operation of soft palate for voice disturbance;;3;01.01.2022;;;1;;;;;;
kood;ENC85;Neeluplastika häälehäire raviks;Plastic operation on pharynx for voice disturbance;;3;01.01.2022;;;1;;;;;;
kood;ENC99;Muu rekonstruktiivne operatsioon neelul ja temaga külgnevatel struktuuridel;Other reconstructive operation on pharynx and adjacent structures;;3;01.01.2003;;;1;;;;;;
3. tasand;ENW;Muud operatsioonid neelul ja temaga külgnevatel struktuuridel;;;2;01.01.2003;;;1;;;;;;
kood;ENW99;Muu operatsioon neelul või temaga külgnevatel struktuuridel;Other operation on pharynx or adjacent structures;;3;01.01.2003;;;1;;;;;;
kood;EP1AT;Kaela pehmekoe punktsioon ultraheli kontrolliga;Punction of soft tissue of neck with ultrasound guidance;;3;01.01.2022;31.12.2022;;1;Uus kood TNA08;;;;;
kood;EP2LT;Kaela pehmekoe punktsioon tsütoloogiliseks uuringuks;Neck soft tissue needle puncture for cytology;;3;01.01.2022;31.12.2022;;1;Uus kood TNA09;;;;;
kood;EP3AT;Kaela pehmekoe nõelbiopsia;Neck soft tissue needle biopsy;;3;01.01.2022;31.12.2022;;1;Uus kood TNA07;;;;;
2. tasand;EW;Kordusoperatsioonid hammaste, lõualuude, suu ja neelu operatsiooni-järgsete tüsistuste tõttu;;;1;01.01.2003;;;1;;;;;;
3. tasand;EWA;Haava dehistsentsi korrektsioon hammaste, lõualuude, suu ja neelu kirurgias;;;2;01.01.2003;;;1;;;;;;
kood;EWA00;Haava dehistsentsi korrektsioon hammaste, lõualuude, suu ja neelu kirurgias;Repair of wound dehiscence in surgery of teeth, jaws, mouth and pharynx;;3;01.01.2003;;;1;;;;;;
3. tasand;EWB;Kordusoperatsioon pindmise infektsiooni korral hammaste, lõualuude, suu ja neelu kirurgias;;;2;01.01.2003;;;1;;;;;;
kood;EWB00;Kordusoperatsioon pindmise infektsiooni korral hammaste, lõualuude, suu ja neelu kirurgias;Reoperation for superficial infection in surgery of teeth, jaws, mouth and pharynx;;3;01.01.2003;;;1;;;;;;
3. tasand;EWC;Kordusoperatsioon süvainfektsiooni korral hammaste, lõualuude, suu ja neelu kirurgias;;;2;01.01.2003;;;1;;;;;;
kood;EWC00;Kordusoperatsioon süvainfektsiooni korral hammaste, lõualuude, suu ja neelu kirurgias;Reoperation for deep infection in surgery of teeth, jaws, mouth and pharynx;;3;01.01.2003;;;1;;;;;;
3. tasand;EWD;Kordusoperatsioon pindmise verejooksu korral hammaste, lõualuude, suu ja neelu kirurgias;;;2;01.01.2003;;;1;;;;;;
kood;EWD00;Kordusoperatsioon pindmise verejooksu korral hammaste, lõualuude, suu ja neelu kirurgias;Reoperation for superficial haemorrhage in surgery of teeth, jaws, mouth and pharynx;;3;01.01.2003;;;1;;;;;;
3. tasand;EWE;Kordusoperatsioon sisemise verejooksu korral hammaste, lõualuude, suu ja neelu kirurgias;;;2;01.01.2003;;;1;;;;;;
kood;EWE00;Kordusoperatsioon sisemise verejooksu korral hammaste, lõualuude, suu ja neelu kirurgias;Reoperation for deep haemorrhage in surgery of teeth, jaws, mouth and pharynx;;3;01.01.2003;;;1;;;;;;
3. tasand;EWF;Kordusoperatsioon anastomoosi või õmbluse dehistsentsi korral hammaste, lõualuude, suu ja neelu kirurgias;;;2;01.01.2003;;;1;;;;;;
kood;EWF00;Kordusoperatsioon anastomoosi või õmbluse dehistsentsi korral hammaste, lõualuude, suu ja neelu kirurgias;Reoperation for insufficiency of anastomosis or suture in surgery of teeth, jaws, mouth and pharynx;;3;01.01.2003;;;1;;;;;;
3. tasand;EWW;Muud kordusoperatsioonid hammaste, lõualuude, suu ja neelu kirurgias;;;2;01.01.2003;;;1;;;;;;
kood;EWW99;Muu kordusoperatsioon hammaste, lõualuude, suu ja neelu kirurgias;Other reoperations in surgery of teeth, jaws, mouth and pharynx;;3;01.01.2003;;;1;;;;;;
kood;EXA00;Skeletimarkerite implantatsioon näokoljule;Implantantion of skeletal marker to bones of face area;;3;01.01.2022;31.12.2022;;1;Uus kood AAK91;;;;;
peatükk;F;Süda ja suured torakaalveresooned;;;0;01.01.2003;;;1;;;;;;
2. tasand;FA;Suured torakaalveenid;;;1;01.01.2003;;;1;;;;;;
3. tasand;FAA;Ülemise õõnesveeni suturatsioon või muu korrektsioon;;;2;01.01.2003;;;1;;;;;;
kood;FAA00;Ülemise õõnesveeni suturatsioon;Suture of thoracic vena cava;;3;01.01.2003;;;1;;;;;;
kood;FAA10;Ülemise õõnesveeni korrektsioon transplantaadi abil;Repair of thoracic vena cava using graft;;3;01.01.2003;;;1;;;;;;
kood;FAA96;Õõnesveeni muu suturatsioon või korrektsioon;Other suture or repair of vena cava;;3;01.01.2003;;;1;;;;;;
3. tasand;FAB;Ülemise õõnesveeni intsisioon ja ekstsisioon;;;2;01.01.2003;;;1;;;;;;
kood;FAB00;Ülemise õõnesveeni intsisioon;Incision of thoracic vena cava;;3;01.01.2003;;;1;;;;;;
kood;FAB10;Trombektoomia ülemisest õõnesveenist;Thrombectomy of thoracic vena cava;;3;01.01.2003;;;1;;;;;;
kood;FAB20;Võõrkeha eemaldamine ülemisest õõnesveenist;Removal of foreign body from thoracic vena cava;;3;01.01.2003;;;1;;;;;;
kood;FAB22;Perkutaanne transluminaalne võõrkeha eemaldamine ülemisest õõnesveenist;Percutaneous transluminal removal of foreign body from thoracic vena cava;;3;01.01.2003;;;1;;;;;;
kood;FAB30;Ülemise õõnesveeni lesiooni ekstsisioon;Excision of lesion of thoracic vena cava;;3;01.01.2003;;;1;;;;;;
kood;FAB96;Ülemise õõnesveeni muu intsisioon või ekstsisioon;Other incision or excision of thoracic vena cava;;3;01.01.2003;;;1;;;;;;
3. tasand;FAC;Ülemise õõnesveeni resektsioon, rekonstruktsioon või ligeerimine;;;2;01.01.2003;;;1;;;;;;
kood;FAC00;Ülemise õõnesveeni resektsioon või ligeerimine;Resection or ligature of thoracic vena cava;;3;01.01.2003;;;1;;;;;;
kood;FAC10;Ülemise õõnesveeni resektsioon ja rekonstruktsioon autoveeni transplantaadiga;Resection and reconstruction of thoracic vena cava using vein autograft;;3;01.01.2003;;;1;;;;;;
kood;FAC20;Ülemise õõnesveeni resektsioon ja rekonstruktsioon proteesiga;Resection and reconstruction of thoracic vena cava using prosthetic graft;;3;01.01.2003;;;1;;;;;;
kood;FAC22;Ülemise õõnesveeni perkutaanne transluminaalne angioplastika;Percutaneous transluminal angioplasty of thoracic vena cava;;3;01.01.2003;;;1;;;;;;
kood;FAC25;Ülemise õõnesveeni perkutaanne transluminaalne angioplastika koos stendi paigaldamisega;Percutaneous transluminal angioplasty of thoracic vena cava with insertion of stent;;3;01.01.2003;;;1;;;;;;
kood;FAC96;Ülemise õõnesveeni muu resektsioon, rekonstruktsioon või ligeerimine;Other resection, reconstruction or ligature of thoracic vena cava;;3;01.01.2003;;;1;;;;;;
3. tasand;FAD;Bypass operatsioonid ülemisel õõnesveenil;;;2;01.01.2003;;;1;;;;;;
kood;FAD00;Bypass operatsioon ülemisel õõnesveenil veeni transplantaadiga;Bypass operation on thoracic vena cava using vein graft;;3;01.01.2003;;;1;;;;;;
kood;FAD10;Bypass operatsioon ülemisel õõnesveenil sünteetilise transplantaadiga;Bypass operation on thoracic vena cava using tube graft;;3;01.01.2003;;;1;;;;;;
kood;FAD96;Muud bypass operatsioonid ülemisel õõnesveenil;Other bypass operations on thoracic vena cava;;3;01.01.2003;;;1;;;;;;
3. tasand;FAE;Kopsuarteri ja ülemise õõnesveeni ühendus;;;2;01.01.2003;;;1;;;;;;
kood;FAE00;Anastomoos kopsuarteri ja ülemise õõnesveeni vahel;Anastomosis to pulmonary artery from superior vena cava;;3;01.01.2003;;;1;;;;;;
kood;FAE10;Mõlemasuunaline anastomoos ülemise õõnesveeni ja kopsuarteri vahel;Bidirectional anastomosis between superior vena cava and pulmonary artery;;3;01.01.2003;;;1;;;;;;
kood;FAE20;Totaalne kavo-pulmonaalne ühendus;Total cavo-pulmonary connection;;3;01.01.2003;;;1;;;;;;
kood;FAE30;Totaalne kavo-pulmonaalne ühendus fenestreeritud lapiga;Total cavo-pulmonary connection using fenestrated patch;;3;01.01.2003;;;1;;;;;;
kood;FAE40;Totaalne kavo-pulmonaalne ühendus ekstrakraniaalse konduiidi abil;Total cavo-pulmonary connection using extracardial conduit;;3;01.01.2003;;;1;;;;;;
kood;FAE50;Täielik ekstrakardiaalne kavo-pulmonaalne ühendus šundiga aatriumi;Total extracardial cavo-pulmonary connection with shunt to atrium;;3;01.01.2010;;;1;;;;;;
kood;FAE96;Muu ühendus kopsuarteri ja ülemise õõnesveeni vahel;Other connection to pulmonary artery from superior vena cava;;3;01.01.2003;;;1;;;;;;
3. tasand;FAF;Operatsioonid pärast kavo-pulmonaalse ühenduse loomist;;;2;01.01.2010;;;1;;;;;;
kood;FAF00;Täieliku intrakardiaalse kavo-pulmonaalse ühenduse fenestratsioon;Fenestration of total intracardiac cavopulmonal connection;;3;01.01.2010;;;1;;;;;;
kood;FAF10;Kavo-pulmonaalse ühenduse fenestratsiooni sulgemine;Closure of fenestration of cavopulmonal connection;;3;01.01.2010;;;1;;;;;;
kood;FAF12;Kavo-pulmonaalse ühenduse fenestratsiooni perkutaanne transluminaalne sulgemine;Percutaneous transluminal closure of fenestration of cavopulmonal connection;;3;01.01.2010;;;1;;;;;;
kood;FAF20;Kavo-pulmonaalse anastomoosi sulgemine;Closure of cavopulmonary anastomosis;;3;01.01.2010;;;1;;;;;;
kood;FAF96;Muu operatsioon pärast kavo-pulmonaalse ühenduse loomist;Other operation subsequent to cavopulmonary connection;;3;01.01.2010;;;1;;;;;;
3. tasand;FAW;Muud operatsioonid suurtel torakaalveenidel;;;2;01.01.2003;;;1;;;;;;
kood;FAW96;Muu operatsioon suurtel torakaalveenidel;Other operation on major thoracic veins;;3;01.01.2003;;;1;;;;;;
2. tasand;FB;Kopsuarter koos harudega;;;1;01.01.2003;;;1;;;;;;
3. tasand;FBA;Kopsuarteri suturatsioon või korrektsioon;;;2;01.01.2003;;;1;;;;;;
kood;FBA00;Kopsuarteri suturatsioon;Suture of pulmonary artery;;3;01.01.2003;;;1;;;;;;
kood;FBA10;Kopsuarteri suturatsioon transplantaadiga;Suture of pulmonary artery using graft;;3;01.01.2003;;;1;;;;;;
kood;FBA96;Kopsuarteri muu suturatsioon või korrektsioon;Other suture or repair of pulmonary artery;;3;01.01.2003;;;1;;;;;;
3. tasand;FBB;Kopsuarteri intsisioon;;;2;01.01.2003;;;1;;;;;;
kood;FBB00;Kopsuarteri intsisioon;Incision of pulmonary artery;;3;01.01.2003;;;1;;;;;;
kood;FBB10;Kopsuarteri emboli transluminaalne ekstraktsioon;Transluminal extraction of pulmonary embolus;;3;01.01.2003;;;1;;;;;;
kood;FBB20;Trombendarterektoomia kopsuarterist kroonilise obstruktsiooni korral;Thrombendarterectomy of pulmonary artery in chronic obstruction;;3;01.01.2003;;;1;;;;;;
kood;FBB50;Võõrkeha eemaldamine kopsuarterist;Removal of foreign body from pulmonary artery;;3;01.01.2003;;;1;;;;;;
kood;FBB52;Perkutaanne transluminaalne võõrkeha eemaldamine kopsuarterist;Percutaneous transluminal removal of foreign body from pulmonary artery;;3;01.01.2003;;;1;;;;;;
kood;FBB96;Kopsuarteri muu intsisioon;Other incision of pulmonary artery;;3;01.01.2003;;;1;;;;;;
3. tasand;FBC;Ahendavad operatsioonid kopsuarteril;;;2;01.01.2003;;;1;;;;;;
kood;FBC00;Kopsuarteri ahendamine;Banding of pulmonary artery;;3;01.01.2003;;;1;;;;;;
kood;FBC10;Kopsuarteri ahendamine koos teiste samaaegsete protseduuridega kaasasündinud südamerikke korral;Banding of pulmonary artery with other concurrent procedure for congenital heart defect;;3;01.01.2003;;;1;;;;;;
kood;FBC96;Muud ahendavad operatsioonid kopsuarteril;Other banding operations on pulmonary artery;;3;01.01.2003;;;1;;;;;;
3. tasand;FBD;Ligatuurpaela eemaldamise operatsioonid kopsuarteril;;;2;01.01.2003;;;1;;;;;;
kood;FBD00;Ligatuurpaela eemaldamine kopsuarterilt;Removal of band from pulmonary artery;;3;01.01.2003;;;1;;;;;;
kood;FBD10;Ligatuurpaela eemaldamine ja kopsuarteri dilateerimine;Removal of band and dilatation of pulmonary artery;;3;01.01.2003;;;1;;;;;;
kood;FBD12;Paela perkutaanne transluminaalne rebestamine ja kopsuarteri dilateerimine;Percutaneous transluminal rupture of band and dilatation of pulmonary artery;;3;01.01.2003;;;1;;;;;;
kood;FBD20;Ligatuurpaela eemaldamine ja kopsuarteri rekonstruktsioon;Removal of band and reconstruction of pulmonary artery;;3;01.01.2003;;;1;;;;;;
kood;FBD96;Ligatuurpaela eemaldamise muu operatsioon kopsuarteril;Other debanding operation on pulmonary artery;;3;01.01.2003;;;1;;;;;;
3. tasand;FBE;Kopsuarteri laiendamine ja rekonstruktsioon;;;2;01.01.2003;;;1;;;;;;
kood;FBE00;Kopsuarteri laiendamine;Expansion of pulmonary artery;;3;01.01.2003;;;1;;;;;;
kood;FBE10;Kopsuarteri laiendamine või rekonstruktsioon lapiga;Expansion or reconstruction of pulmonary artery using patch;;3;01.01.2003;;;1;;;;;;
kood;FBE20;Kopsuarteri rekonstruktsioon kasutades sünteetilist transplantaati;Reconstruction of pulmonary artery using tube graft;;3;01.01.2003;;;1;;;;;;
kood;FBE32;Kopsuarteri perkutaanne transluminaalne angioplastika;Percutaneous transluminal angioplasty of pulmonary artery;;3;01.01.2003;;;1;;;;;;
kood;FBE35;Kopsuarteri perkutaanne transluminaalne angioplastika koos stendi paigaldamisega;Percutaneous transluminal angioplasty of pulmonary artery with insertion of stent;;3;01.01.2003;;;1;;;;;;
kood;FBE42;Kopsuarteri perkutaanne transluminaalne rekanaliseerimine;Percutaneous transluminal recanalisation of pulmonary artery;;3;01.01.2003;;;1;;;;;;
kood;FBE96;Kopsuarteri muu laiendamine või rekonstruktsioon;Other expansion or reconstruction of pulmonary artery;;3;01.01.2003;;;1;;;;;;
3. tasand;FBF;Kopsuarteri reduktsioon;;;2;01.01.2003;;;1;;;;;;
kood;FBF00;Kopsuarteri resektsioon;Resection of pulmonary artery;;3;01.01.2003;;;1;;;;;;
kood;FBF10;Kopsuarteri resektsioon ja rekonstruktsioon transplantaadi abil;Resection and reconstruction of pulmonary artery using graft;;3;01.01.2003;;;1;;;;;;
kood;FBF20;Kopsuarteri resektsioon ja hingamistee rekonstruktsioon;Resection of pulmonary artery and reconstruction of airway;;3;01.01.2003;;;1;;;;;;
kood;FBF96;Kopsuarteri muu reduktsioon;Other reduction of pulmonary artery;;3;01.01.2003;;;1;;;;;;
3. tasand;FBG;Anomaalsete pulmonaalsete kollateraalarterite (MAPCA) unifokalisatsioon implantatsiooniga kopsuarterisse või transplantaati;;;2;01.01.2003;;;1;;;;;;
kood;FBG00;MAPCA ja kopsuarteri vaheline anastomoos;Anastomosis to pulmonary artery from MAPCA;;3;01.01.2003;;;1;;;;;;
kood;FBG10;MAPCA ja transplantaadi vaheline anastomoos;Anastomosis to graft from MAPCA;;3;01.01.2003;;;1;;;;;;
kood;FBG96;MAPCA muu unifokalisatsioon;Other unifocalisation in MAPCA;;3;01.01.2003;;;1;;;;;;
3. tasand;FBH;Kopsuarteri lingu korrektsioon;;;2;01.01.2003;;;1;;;;;;
kood;FBH00;Kopsuarteri lingu transpositsioon;Transposition of pulmonary artery sling;;3;01.01.2003;;;1;;;;;;
kood;FBH10;Kopsuarteri lingu transpositsioon koos hingamistee ajutise läbimisega;Transposition of pulmonary artery sling with division of airway;;3;01.01.2003;;;1;;;;;;
kood;FBH96;Kopsuarteri lingu muu korrektsioon;Other repair of pulmonary artery sling;;3;01.01.2003;;;1;;;;;;
3. tasand;FBJ;Ühendus kopsuarteri ja rangluualuse arteri vahel;;;2;01.01.2003;;;1;;;;;;
kood;FBJ00;Anastomoos kopsuarteri ja rangluualuse arteri vahel;Anastomosis to pulmonary artery from subclavian artery;;3;01.01.2003;;;1;;;;;;
kood;FBJ10;Anastomoos kopsuarteri ja rangluualuse arteri vahel transplantaadi kasutamisega;Anastomosis to pulmonary artery from subclavian artery with interposition graft;;3;01.01.2003;;;1;;;;;;
kood;FBJ96;Muu ühendus kopsuarteri ja rangluualuse arteri vahel;Other connection to pulmonary artery from subclavian artery;;3;01.01.2003;;;1;;;;;;
3. tasand;FBK;Rangluualuse arteri ja kopsuarteri vahelise ühenduse sulgemine;;;2;01.01.2003;;;1;;;;;;
kood;FBK01;Blalock-Taussigi šundi perkutaanne transluminaalne sulgemine;Percutaneous transluminal closure of Blalock-Taussig shunt;;3;01.01.2022;;;1;;;;;;
kood;FBK03;Kopsuarteri ja rangluualuse arteri vahelise anastomoosi sulgemine;Closure of subclavio-pulmonary anastomosis;;3;01.01.2010;;;1;;;;;;
kood;FBK13;Kopsuarteri ja rangluualuse arteri vahelise anastomoosi sulgemine koos kopsuarteri rekonstruktsiooniga;Closure of subclavio-pulmonary anastomosis with reconstruction of pulmonary artery;;3;01.01.2010;;;1;;;;;;
kood;FBK96;Rangluualuse arteri ja kopsuarteri vahelise ühenduse muu sulgemine;Closure of other subclavio-pulmonary connection;;3;01.01.2003;;;1;;;;;;
3. tasand;FBL;Ühendus kopsuarteri ja aordi vahel;;;2;01.01.2003;;;1;;;;;;
kood;FBL00;Anastomoos üleneva aordi ja pulmonaalarteri tüve vahel;Anastomosis to pulmonary trunk from ascending aorta;;3;01.01.2003;;;1;;;;;;
kood;FBL10;Aordi ja kopsuarteri vaheline anastomoos;Aorto-pulmonary anastomosis;;3;01.01.2003;;;1;;;;;;
kood;FBL20;Aordi ja kopsuarteri vaheline distaalne anastomoos;Distal aorto-pulmonary anastomosis;;3;01.01.2003;;;1;;;;;;
kood;FBL30;Aordi ja kopsuarteri vaheline anastomoos transplantaadiga;Aorto-pulmonary anastomosis using graft;;3;01.01.2003;;;1;;;;;;
kood;FBL40;Aordi ja kopsuarteri vaheline anastomoos ühise vatsakese korral;Aorto-pulmonary anastomosis in single ventricle conditions;;3;01.01.2003;;;1;;;;;;
kood;FBL50;Aordi ja kopsuarteri vaheline anastomoos kopsuarteri transsektsiooniga;Aorto-pulmonary anastomosis with transsection of pulmonary artery;;3;01.01.2003;;;1;;;;;;
kood;FBL96;Muu ühendus aordi ja kopsuarteri vahel;Other connection to pulmonary artery from aorta;;3;01.01.2003;;;1;;;;;;
3. tasand;FBM;Aordi ja kopsuarteri vahelise kunstliku ühenduse sulgemine;;;2;01.01.2003;;;1;;;;;;
kood;FBM00;Aordi ja kopsuarteri vahelise tsentraalse ühenduse sulgemine;Closure of central aorto-pulmonary anastomosis;;3;01.01.2003;;;1;;;;;;
kood;FBM10;Aordi ja kopsuarteri vahelise šundi sulgemine;Closure of aorto-pulmonary shunt;;3;01.01.2003;;;1;;;;;;
kood;FBM20;Aordi ja kopsuarteri vahelise distaalse šundi sulgemine;Closure of distal aorto-pulmonary shunt;;3;01.01.2003;;;1;;;;;;
kood;FBM30;Aordi ja kopsuarteri vahelise transplantaatühenduse sulgemine;Closure of prosthetic aorto-pulmonary connection;;3;01.01.2003;;;1;;;;;;
kood;FBM96;Aordi ja kopsuarteri vahelise kunstliku ühenduse muu sulgemine;Other closure of artificial aorto-pulmonary connection;;3;01.01.2003;;;1;;;;;;
3. tasand;FBN;Kopsuarteri fistuli sulgemine;;;2;01.01.2003;;;1;;;;;;
kood;FBN00;Kopsuarteri ja koja vahelise fistuli sulgemine;Closure of fistula to atrium from pulmonary artery;;3;01.01.2003;;;1;;;;;;
kood;FBN01;Pulmonaalarteri arteriovenoosse fistuli perkutaanne transluminaalne sulgemine;Percutaneous transluminal closure of arterio-venous fistula from pulmonary artery;;3;01.01.2022;;;1;;;;;;
kood;FBN10;Kopsuarteri arteriovenoosse fistuli sulgemine;Closure of arterio-venous fistula from pulmonary artery;;3;01.01.2003;;;1;;;;;;
kood;FBN96;Muu kopsuarteri fistuli sulgemine;Closure of other fistula of pulmonary artery;;3;01.01.2003;;;1;;;;;;
3. tasand;FBW;Muud operatsioonid kopsuarteril ja tema harudel;;;2;01.01.2003;;;1;;;;;;
kood;FBW96;Muu operatsioon kopsuarteril ja tema harudel;Other operation on pulmonary artery and branches;;3;01.01.2003;;;1;;;;;;
2. tasand;FC;Torakaal- ja torakoabdominaalne aort, v.a. malformatsioonid;;;1;01.01.2003;;;1;;;;;;
3. tasand;FCA;Üleneva aordi korrektsioon;;;2;01.01.2003;;;1;;;;;;
kood;FCA00;Üleneva aordi suturatsioon;Suture of ascending aorta;;3;01.01.2003;;;1;;;;;;
kood;FCA10;Üleneva aordi korrektsioon läbimise ja suturatsiooniga;Repair of ascending aorta by division and suture;;3;01.01.2003;;;1;;;;;;
kood;FCA20;Üleneva aordi tugevdamine “bandaažiga” (wrapping);Reinforcement of ascending aorta with wrapping;;3;01.01.2003;;;1;;;;;;
kood;FCA23;Aordikaare perkutaanne transluminaalne angioplastika;Percutaneous transluminal plastic of aortic arch;;3;01.01.2022;;;1;;;;;;
kood;FCA30;Üleneva aordi osaline resektsioon ja suturatsioon;Partial resection and suture of ascending aorta;;3;01.01.2003;;;1;;;;;;
kood;FCA40;Üleneva aordi suturatsioon kasutades lappi;Repair of ascending aorta using patch;;3;01.01.2003;;;1;;;;;;
kood;FCA45;Perkutaanne stendi paigaldamine ülenevasse aorti;Percutaneous insertion of stent into ascending aorta;;3;01.01.2003;;;1;;;;;;
kood;FCA50;Üleneva aordi resektsioon ja rekonstruktsioon sünteetilise transplantaadiga;Resection and reconstruction of ascending aorta using tube graft;;3;01.01.2003;;;1;;;;;;
kood;FCA60;Aordi bulbuse ja üleneva aordi resektsioon kasutades liittransplantaati mehhaanilise klapiproteesiga koos koronaararterite reimplantatsiooniga;Resection of aortic root and ascending aorta with reimplantation of coronary arteries and use of composite;;3;01.01.2003;;;1;;;;;;
kood;FCA70;Aordi bulbuse ja üleneva aordi resektsioon bioloogilise klapiproteesi ja sünteetilise transplantaadi kasutamisega koos koronaararterite reimplantatsio;Resection of aortic root and ascending aorta with reimplantation of coronary arteries and use of biological;;3;01.01.2003;;;1;;;;;;
kood;FCA83;Võõrkeha eemaldamine ülenevast aordist;Removal of foreign body from ascending aorta;;3;01.01.2010;;04.12.2019;1;Muudeti ingliskeelset nimetust kuna dubleeris koodi FCA20 nimetust;;;;;
kood;FCA84;Võõrkeha perkutaanne eemaldamine ülenevast aordist;Percutaneous removal of foreign body from ascending aorta;;3;01.01.2010;;;1;;;;;;
kood;FCA96;Üleneva aordi muu korrektsioon;Other repair of ascending aorta;;3;01.01.2003;;;1;;;;;;
3. tasand;FCB;Aordikaare korrektsioon;;;2;01.01.2003;;;1;;;;;;
kood;FCB00;Aordikaare suturatsioon;Suture of aortic arch;;3;01.01.2003;;;1;;;;;;
kood;FCB10;Aordikaare korrektsioon läbimise ja suturatsiooniga;Repair of aortic arch by division and suture;;3;01.01.2003;;;1;;;;;;
kood;FCB20;Aordikaare osaline resektsioon ja suturatsioon;Partial resection and suture of aortic arch;;3;01.01.2003;;;1;;;;;;
kood;FCB30;Aordikaare korrektsioon kasutades lappi;Repair of aortic arch using patch;;3;01.01.2003;;;1;;;;;;
kood;FCB35;Perkutaanne stendi paigaldamine aordikaarde;Percutaneous insertion of stent into aortic arch;;3;01.01.2003;;;1;;;;;;
kood;FCB40;Aordikaare resektsioon ja rekonstruktsioon sünteetilise transplantaadiga;Resection and reconstruction of aortic arch using tube graft;;3;01.01.2003;;;1;;;;;;
kood;FCB50;Aordikaare resektsioon ja tema harude reimplantatsioon;Resection of aortic arch and reimplantation of branches;;3;01.01.2003;;;1;;;;;;
kood;FCB80;Võõrkeha eemaldamine aordikaarest;Removal of foreign body from aortic arch;;3;01.01.2010;;04.12.2019;1;Muudeti ingliskeelset nimetust kuna dubleeris koodi FCA50 nimetust;;;;;
kood;FCB82;Võõrkeha perkutaanne eemaldamine aordikaarest;Percutaneous removal of foreign body from aortic arch;;3;01.01.2010;;;1;;;;;;
kood;FCB96;Aordikaare muu korrektsioon;Other repair of aortic arch;;3;01.01.2003;;;1;;;;;;
3. tasand;FCC;Alaneva aordi korrektsioon;;;2;01.01.2003;;;1;;;;;;
kood;FCC00;Alaneva aordi suturatsioon;Suture of descending aorta;;3;01.01.2003;;;1;;;;;;
kood;FCC10;Alaneva aordi korrektsioon läbimise ja suturatsiooniga;Repair of descending aorta by division and suture;;3;01.01.2003;;;1;;;;;;
kood;FCC30;Alaneva aordi osaline resektsioon ja suturatsioon;Partial resection and suture of descending aorta;;3;01.01.2003;;;1;;;;;;
