ebMEDsi loendis olev kood;RHK-10 eestikeelne nimetus
F18.72;Lenduvate lahustite tarvitamisest tingitud psüühika- ja käitumishäired. Residuaalne või hiline psüühikahäire, residuaalne afektiivne häire
F18.73;Lenduvate lahustite tarvitamisest tingitud psüühika- ja käitumishäired. Residuaalne või hiline psüühikahäire, dementsus
F18.74;Lenduvate lahustite tarvitamisest tingitud psüühika- ja käitumishäired. Residuaalne või hiline psüühikahäire, muu püsiv tunnetuskahjustus
F18.75;Lenduvate lahustite tarvitamisest tingitud psüühika- ja käitumishäired. Residuaalne või hiline psüühikahäire, hilise tekkega psühhoos
F18.8;Lenduvate lahustite tarvitamisest tingitud psüühika- ja käitumishäired. Muud psüühika- või käitumishäired
F18.9;Lenduvate lahustite tarvitamisest tingitud psüühika- ja käitumishäired. Täpsustamata psüühika- või käitumishäire
F19;Mitmete või muude psühhoaktiivsete ainete tarvitamisest tingitud psüühika- ja käitumishäired
F20;Skisofreenia
F21;Skisotüüpne häire
F22;Püsivad luululised häired
F23;Äge ja mööduv psühhootiline episood
F24;Indutseeritud luululine häire
F25;Skisoafektiivsed häired
F28;Muud mitteorgaanilised psühhoosid
F29;Täpsustamata mitteorgaaniline psühhoos
F30;Maniakaalne episood e. mania
F31;Bipolaarne meeleoluhäire
F32;Depressiivne episood e. depressioon
F32.1;Mõõdukas depressioon
F32.10;Mõõdukas depressioon. somaatiliste sümptomiteta
F32.11;Mõõdukas depressioon. somaatiliste sümptomitega
F32.2;Raske depressioon psühhootiliste sümptomiteta
F32.3;Raske depressioon psühhootiliste sümptomitega
F32.8;Muud depressiivsed episoodid
F32.9;Täpsustamata depressiivne episood
F33;Korduv depressiivne häire e korduv depressioon
F34;Püsivad meeleoluhäired
F38;Muud meeleoluhäired
F39;Täpsustamata meeleoluhäire
F40;Foobsed ärevushäired e. foobiad
F41;Muud ärevushäired
F41.0;Muud ärevushäired. Paanikahäire
F41.1;Muud ärevushäired. Generaliseerunud ärevushäire
F41.3;Muud ärevushäired. Muud segatüüpi ärevushäired
F41.8;Muud ärevushäired. Muud täpsustatud ärevushäired
F41.9;Muud ärevushäired. Täpsustamata ärevushäire
F42;Obsessiiv-kompulsiivne häire e. sundseisund
F43.0;Äge stressreaktsioon
F43.1;Posttraumaatiline stresshäire
F43.2;Kohanemishäire
F43.21;Kohanemishäire. pikaajaline depressiivne reaktsioon
F43.23;Kohanemishäire. muude emotsionaalsete häiretega reaktsioon
F43.24;Kohanemishäire. valdavalt käitumishäiretega reaktsioon
F43.25;Kohanemishäire. segatüüpi reaktsioon
F43.28;Kohanemishäire. muude sümptomitega kohanemishäire
F43.8;Muud rasked stressreaktsioonid
F43.9;Täpsustamata raske stressreaktsioon
F44;Dissotsiatiivsed häired
F45;Somatoformsed häired
F48;Muud neurootilised häired
F50;Söömishäired
F52.2;Genitaalne vaegreaktsioon
F52.5;Vaginism
F52.6;Düspareuunia
F52.7;Kõrgenenud libiido
F53;Sünnitusjärgse perioodiga seotud mujal klassifitseerimata psüühika- ja käitumishäired
F55;Sõltuvust mittepõhjustavate ainete kuritarvitamine
F60;Spetsiifilised isiksushäired
F61;Segatüüpi ja muud isiksushäired
F62;Ajukahjustuse ja -haigusega mitteseostatavad püsivad isiksusemuutused
F63;Harjumus- ja impulsihäired
F64;Sooidentsuse häired
F65.2;Seksuaalsuunitluse häired. Ekshibitsionism
F65.3;Seksuaalsuunitluse häired. Vuajerism
F65.4;Seksuaalsuunitluse häired. Pedofiilia
F65.5;Seksuaalsuunitluse häired. Sadomasohhism
F68;Täiskasvanu muud isiksus- ja käitumishäired
F69;Täiskasvanu täpsustamata isiksus- ja käitumishäire
F70;Kerge vaimne alaareng
F71;Mõõdukas vaimne alaareng
F72;Raske vaimne alaareng
F73;Sügav vaimne alaareng
F78;Muu täpsustatud vaimne alaareng
F79;Täpsustamata vaimne alaareng
F80.1;Ekspressiivne kõnehäire
F80.2;Retseptiivne kõnehäire
F80.3;Afaasia koos epilepsiaga (Landau-Kleffneri sündroom)
F81;Õpivilumuste spetsiifilised häired
F82;Motoorika spetsiifiline arenguhäire
F83;Segatüüpi spetsiifilised arenguhäired
F84;Pervasiivsed arenguhäired
F88;Psühholoogilise arengu muud häired
F89;Psühholoogilise arengu täpsustamata häire
F90;Hüperkineetilised häired
F91;Käitumishäired
F92;Segatüüpi käitumis- ja tundeeluhäired
F93;Lapsele iseloomulikud tundeeluhäired
F94;Lapse või nooruki suhtlemishäired
F95;Tikid
F98.0;Lapse või nooruki muud käitumis- ja tundeeluhäired. Mitteorgaaniline enurees
F98.1;Lapse või nooruki muud käitumis- ja tundeeluhäired. Mitteorgaaniline enkoprees
F98.4;Lapse või nooruki muud käitumis- ja tundeeluhäired. Liigutuste stereotüüpiad
F98.5;Lapse või nooruki muud käitumis- ja tundeeluhäired. Kogelemine
F98.6;Lapse või nooruki muud käitumis- ja tundeeluhäired. Ebarütmiline kõne
F98.9;Lapse või nooruki muud käitumis- ja tundeeluhäired. Täpsustamata käitumis- ja tundeeluhäire
F99;Täpsustamata psüühikahäire
G00;Mujal klassifitseerimata baktermeningiit e ajukelmepõletik
G01;Meningiit mujal klassifitseeritud bakterhaiguste korral
G02;Meningiit mujal klassifitseeritud muude nakkus- ja parasiithaiguste korral
G03;Meningiit muudel ja täpsustamata põhjustel
G04;Entsefaliit e peaajupõletik, müeliit e seljaajupõletik ja entsefalomüeliit e peaaju-seljaajupõletik
G05;Entsefaliit, müeliit ja entsefalomüeliit mujal klassifitseeritud haiguste korral
G06;Intrakraniaalne e koljusisene ja intraspinaalne e lülisambakanalisisene abstsess e mädanik ning granuloom e granulatsioonkoevohand
G07;Intrakraniaal- ja intraspinaalabstsess ning -granuloom mujal klassifitseeritud haiguste korral
G08;Intrakraniaal- ja intraspinaalflebiit e -veenipõletik ja -tromboflebiit e –hüüvisveenipõletik
G09;Kesknärvisüsteemi põletikuliste haiguste jääknähud
G10;Huntingtoni tõbi
G11;Hereditaar- e pärilik ataksia
G12;Spinaalne e seljaaju-lihasatroofia ja selletaolised sündroomid
G13;Esmajoones kesknärvisüsteemi kahjustavad süsteematroofiad mujal klassifitseeritud haiguste korral
G20;Parkinsoni tõbi
G21;Sekundaarne e teisene parkinsonism
G22;Parkinsonism mujal klassifitseeritud haiguste korral
G23;Basaalganglionide muud degeneratiivhaigused
G24;Düstoonia
G25;Muud ekstrapüramidaal- ja liigutushäired
G26;Ekstrapüramidaal- ja liigutushäired mujal klassifitseeritud haiguste korral
G30;Alzheimeri tõbi
G31;Närvisüsteemi mujal klassifitseerimata muud degeneratiivhaigused
G32;Närvisüsteemi muud degeneratiivhaigusseisundid mujal klassifitseeritud haiguste korral
G35;Multiipel- e hulgiskleroos
G36;Muu äge dissemineeritud demüelin[is]atsioon
G37;Kesknärvisüsteemi muud demüelin[is]eerivad haigused
G40;Epilepsia e langetõbi
G41;Epileptiline staatus e seisund
G43;Migreen
G44.0;Kobarpeavalu sündroom
G44.1;Mujal klassifitseerimata vaskulaarne peavalu
G44.3;Krooniline traumajärgne peavalu
G44.8;Muud täpsustatud peavalusündroomid
G45;Peaaju transitoorse isheemia atakid ja sellesarnased sündroomid
G46;Peaaju vaskulaar- e veresoontesündroomid tserebrovaskulaarsete e peaajuveresoonte haiguste korral
G47.0;Uinumise ja une säilitamise häired [insomniad]
G47.1;Liigse unisuse laadi häired [hüpersomniad]
G47.3;Uneapnoe
G47.4;Narkolepsia ja katapleksia
G47.8;Muud unehäired
G50;Kolmiknärvi haigusseisundid
G51;Näonärvi haigusseisundid
G52;Muude kraniaalnärvide haigusseisundid
G53;Kraniaalnärvide haigusseisundid mujal klassifitseeritud haiguste korral
G54;Närvijuurte ja -põimikute haigusseisundid
G55;Närvijuurte ja -põimikute kompressioonid e surved mujal klassifitseeritud haiguste korral
G56;Ülajäseme mononeuropaatiad
G57;Alajäseme mononeuropaatiad
G58;Muud mononeuropaatiad
G59;Mononeuropaatia mujal klassifitseeritud haiguste korral
G60;Hereditaar- e pärilik ja idiopaat- e sõltumatu neuropaatia
G61;Põletikuline polüneuropaatia
G62;Muud polüneuropaatiad
G63;Polüneuropaatia mujal klassifitseeritud haiguste korral
G64;Perifeerse närvisüsteemi muud haigusseisundid
G70;Raskekujuline müasteenia e lihasejõuetus ja muud müoneuraalsed haigusseisundid
G71;Primaarsed e esmased lihaste haigusseisundid
G72;Muud müopaatiad
G73;Müoneuraalse sünapsi ja lihaste haigusseisundid mujal klassifitseeritud haiguste korral
G80;Laste tserebraalparalüüs e tserebraalne lastehalvatus
G81;Hemipleegia e ühepoolehalvatus
G82;Parapleegia e mõlemapoolehalvatus ja tetrapleegia e neljajäsemehalvatus
G83;Muud paralüüs- e halvatussündroomid
G90;Autonoomse närvisüsteemi haigusseisundid
G91;Hüdrotsefaalia e vesipea
G92;Toksiline entsefalopaatia
G93;Peaaju muud haigusseisundid
G94;Peaaju muud haigusseisundid mujal klassifitseeritud haiguste korral
G95;Seljaaju muud haigused
G96;Kesknärvisüsteemi muud haigusseisundid
G97.2;Ventriikuli šunteerimisjärgne intrakraniaalne hüpotensioon
G98;Närvisüsteemi mujal klassifitseerimata muud haigusseisundid
G99;Närvisüsteemi muud haigusseisundid mujal klassifitseeritud haiguste korral
H01.1;Muu laupõletik. Mittenakkuslikud laudermatoosid
H02.0;Lauentroop e -sissepööre ja lautrihhiaas e –karvtõbi
H02.1;Lauektroop e –väljapööre
H02.2;Lagoftalm e jänesesilm
H02.4;Lauvaje e –ptoos
H02.5;Lautalitlust kahjustavad muud haigusseisundid
H04.0;Dakrüoadeniit e pisaranäärmepõletik
H04.4;Pisarateede krooniline põletik
H04.5;Pisarateede stenoos ja puudulikkus
H04.6;Pisarateede muud muutused
H05.1;Silmakoopa kroonilised põletikulised haigusseisundid
H05.2;Eksoftalmilised seisundid
H05.3;Silmakoopa deformatsioon
H05.4;Enoftalm e silmasissevaje
H06.2;Düstür[e]oidne eksoftalm e punnsilmsus
H10.4;Krooniline konjunktiviit
H11.0;Pterüügium e tiibkile
H11.2;Konjunktiivi armid
H13.3;Silma pemfigoid
H15.0;Skleriit e kõvakestapõletik
H15.1;Episkleriit e kõvakesta-pinnapõletik
H16.3;Interstitsiaalne ja sügav keratiit
H16.4;Sarvkesta neovaskularisatsioon
H17.0;Liitunud leukoom e sarvkesta-valgelaik
H17.1;Sarvkesta muu tsentraalne hägusus
H17.8;Muud sarvkestaarmid ja –hägusused
H18.1;Bulloosne e põiendiline keratopaatia
H18.4;Sarvkesta degeneratsioon
H18.5;Pärilikud sarvkestadüstroofiad
H18.6;Keratokoonus
H18.7;Sarvkesta muud deformsused e moonutised
H20;Iridotsükliit e vikerkesta-ripskeha põletik
H21.1;Iirise ja tsiliaarkeha muud vaskulaarsed haigusseisundid
H21.3;Iirise, tsiliaarkeha ja eeskambri tsüst
H21.4;Pupillimembraanid e silmaavakiled
H21.5;Iirise ja tsiliaarkeha muud liited ja lõhestused
H25;Seniilkatarakt e raukuskae
H26;Muu kae
H27.0;Afaakia e [silma]läätsetus
H28;Katarakt e kae ja läätse muud haigusseisundid mujal klassifitseeritud haiguste korral
H30;Korioretiniit e soon- ja võrkkestapõletik
H31.1;Kor[i]oidaaldegeneratsioon
H31.2;Pärilik soonkestadüstroofia
H31.4;Soonkestairre
H33;Võrkkestairded ja –rebendid
H34;Võrkkestasoonte sulgus
H35;Võrkkesta muud haigusseisundid
H36;Võrkkesta haigusseisundid mujal klassifitseeritud haiguste korral
H40;Glaukoom
H42;Glaukoom mujal klassifitseeritud haiguste korral
H44.1;Muu endoftalmiit
H44.2;Degeneratiivne lühinägevus e degeneratiiv müoopia
H44.3;Silmamuna muud degeneratiivsed haigusseisundid
H44.5;Silmamuna degeneratsioonseisundid
H44.6;Silmasisene peetunud (vana) magnetvõõrkeha
H45;Klaaskeha ja silmamuna haigusseisundid mujal klassifitseeritud haiguste korral
H46;Nägemisnärvipõletik
H47;Nägemisnärvi ja -kulglate muud haigusseisundid
H48;Nägemisnärvi ja -kulglate haigusseisundid mujal klassifitseeritud haiguste korral
H49;Paralüüsstrabism e halvatuskõõritus
H50;Muu strabism
H51;Binokulaarliigutuste muud häired
H53.0;Anopsiaamblüoopia e silmakasutamatusamblüoopia e –nõrknägevus
H53.4;Nägemis- e vaateväljadefektid e puuded
H54;Pimedus ja nõrknägevus
H57.0;Pupillifunktsiooni anomaaliad
H58;Silma ja silmamanuste muud haigusseisundid mujal klassifitseeritud haiguste korral
H60.4;Väliskõrva kolesteatoom
H65.2;Krooniline seroosne keskkõrvapõletik
H65.4;Muu krooniline mädata keskkõrvapõletik
H66.2;Krooniline atikoantraalne mädane keskkõrvapõletik
H66.3;Muu krooniline mädane keskkõrvapõletik
H70.1;Krooniline nibujätkepõletik
H70.2;Petrosiit e kaljuosapõletik
H71;Keskkõrva kolesteatoom e pärlkasvaja
H72;Trummikile perforatsioon e mulgustus
H73.1;Krooniline müringiit
H74.1;Adhesiivne keskkõrvahaigus
H74.2;Kuulmeluukeste seosekatkestus ja nihestus
H74.3;Muud kuulmeluukeste omandatud anomaaliad
H74.4;Keskkõrvapolüüp
H80;Otoskleroos e kõrvakõvastus
H81.0;Méniere'i tõbi
H81.3;Muu perifeerne peapööritus
H81.4;Tsentraalset päritolu peapööritus
H83.0;Labürintiit
H83.3;Müra toime sisekõrvasse
H90;Konduktiivne e juhtivuse ja neurosensoorne kuulmisnõrkus
H91;Muu kuulmisnõrkus
H93.1;Kõrvavile e tinnitus
H93.3;Esiku-teonärvi haigusseisundid
H95.0;Mastoidektoomiajärgse õõne korduv kolesteatoom
H95.1;Mastoidektoomiajärgsed muud haigusseisundid
I00;Äge reuma südamekahjustust mainimata
I02;Reumaatiline korea
I05;Mitraalklapi reumaatilised haigused
I06;Aordiklapi reumaatilised haigused
I07;Trikuspidaalklapi reumaatilised haigused
I08;Mitme südameklapi haigused
I09;Muud reumaatilised südamehaigused
I10;Hüpertooniatõbi e essentsiaalne e primaarne arteriaalne hüpertensioon e kõrgvererõhktõbi
I11;Südamekahjustusega hüpertooniatõbi
I12;Neerukahjustusega hüpertooniatõbi
I13;Südame- ja neerukahjustusega hüpertooniatõbi
I15;Sekundaarne hüpertensioon
I20;Stenokardia e rinnaangiin e rinnaahistus
I21;Äge müokardiinfarkt
I22;Korduv müokardiinfarkt
I23;Ägeda müokardiinfarkti mõned lähitüsistused
I24;Südame ägeda isheemiatõve muud vormid
I25;Krooniline südame isheemiatõbi
I26;Kopsuveresoonte emboolia
I27;Muud kopsutekkesed südamehaigused
I28;Kopsuveresoonte muud haigused
I30.0;Äge mittespetsiifiline idiopaatiline perikardiit
I30.9;Täpsustamata äge perikardiit
I31;Perikardi muud haigused
I33;Äge ja alaäge endokardiit
I34;Mitraalklapi mittereumaatilised haigusseisundid
I35;Aordiklapi mittereumaatilised haigusseisundid
I36;Trikuspidaalklapi mittereumaatilised haigusseisundid
I37;Kopsuarteriklapi haigusseisundid
I38;Endokardiit, klapp täpsustamata
I39;Endokardiit ja südameklappide haigusseisundid mujal klassifitseeritud haiguste korral
I40;Äge müokardiit
I41;Müokardiit mujal klassifitseeritud haiguste korral
I42;Kardio(müo)paatia
I43;Kardio(müo)paatia mujal klassifitseeritud haiguste korral
I44;Atrioventrikulaar- ja Hisi kimbu vasaksääre blokaad
I45;Südame erutusjuhte muud häired
I46;Südameseiskus
I47;Paroksüsmaalne tahhükardia
I48;Kodade virvendus ja laperdus
I49.0;Südamevatsakeste virvendus ja laperdus
I49.5;Siinussõlme nõrkuse sündroom
I50;Südamepuudulikkus
I51.0;Südamevaheseina omandatud puue e defekt
I51.1;Mujal klassifitseerimata kõõluskeeliku rebend
I51.2;Mujal klassifitseerimata näsa- e papillaarlihase rebend
I51.4;Täpsustamata müokardiit
I51.5;Müokardi väärastus e degeneratsioon
I51.7;Kardiomegaalia
I51.8;Muud halvasti defineeritud südamehaigused
I60;Subarahnoidaalne hemorraagia e ämblikuvõrkkesta-alune verevalum
I61;Intratserebraalne hemorraagia e peaajusisene verevalum
I62;Muu mittetraumaatiline koljusisene verevalum
I63;Peaajuinfarkt
I64;Täpsustamata kas hemorraagia või infarktitekkene insult e rabandus
I65;Pretserebraalarterite peaajuinfarktita oklusioon e sulgus ja stenoos e ahenemus
I66;Peaajuarterite peaajuinfarktita oklusioon ja stenoos
I67;Peaajuveresoonte muud haigused
I68;Peaajuveresoonte haigusseisundid mujal klassifitseeritud haiguste korral
I69;Peaajuveresoonte haiguse jääknähud
I70;Ateroskleroos
I71;Aordianeurüsm ja aordi lõhustav aneurüsm
I72;Muud aneurüsmid
I73.0;Raynaud' sündroom
I73.1;Oblitereeriv tromboangiit [Buerger]
I73.9;Perifeersete veresoonte täpsustamata haigused
I74;Arteriemboolia ja -tromboos
I77.0;Omandatud arteriovenoosne uuris e fistul
I77.1;Arteristriktuur e -ahend
I77.3;Arteri fibromuskulaarne düsplaasia
I77.4;Kõhuõõne- e tsöliaalarteri kompressioonisündroom
I77.6;Täpsustamata arteriit
I77.9;Arterite ja arterioolide täpsustamata haigusseisund
I78.0;Pärilik hemorraagiline tel[e]angiektaasia
I78.8;Kapillaaride muud haigused
I79;Arterite, arterioolide ja kapillaaride haigusseisundid mujal klassifitseeritud haiguste korral
I80;Flebiit e veenipõletik ja tromboflebiit e trombveenipõletik
I81;Värativeeni tromboos
I82;Muude veenide emboolia ja tromboos
I83.0;Alajäsemete vaariksid haavandiga
I83.1;Alajäsemete vaariksid põletikuga
I85;Söögitoruvaariksid
I86.1;Skrootumivaariksid
I86.4;Maovaariksid
I87.0;Postflebiitiline sündroom
I87.1;Veenikompressioon
I87.2;"(Perifeerne; krooniline) veenipuudulikkus"
I88.1;Krooniline lümfadeniit v.a mesenteriaalne
I89.0;Mujal klassifitseerimata lümfödeem
I89.1;Lümfangiit
I95.0;Idiopaatiline hüpotensioon
I95.1;Ortostaatiline hüpotensioon
I95.8;Muu hüpotensioon
I97.2;Mastektoomiajärgse lümfödeemi sündroom
I98.0;Kardiovaskulaarne süüfilis
I98.2;Söögitoruvaariksid mujal klassifitseeritud haiguste korral
J17.2;Kopsupõletik mükooside korral
J30.1;Õietolmu põhjustatud allergiline riniit
J30.2;Muu sesoonne allergiline riniit
J30.3;Muu allergiline riniit
J30.4;Täpsustamata allergiline riniit
J31;Krooniline nina-, nina-neelu- ja neelupõletik e riniit, nasofarüngiit ja farüngiit
J32;Krooniline sinu[s]iit e ninakõrvalurkepõletik
J33;Ninapolüüp
J34.1;Ninaurke tsüst ja limaretentsioontsüst e mukotseele
J34.3;Ninakarbikute hüpertroofia
J35.0;Krooniline mandlipõletik e tonsilliit
J35.1;Suulaemandlite hüpertroofia
J35.2;Neelumandli hüpertroofia
J35.3;Suulaemandlite hüpertroofia koos neelumandli hüpertroofiaga
J35.9;Täpsustamata kurgu- ja neelumandli krooniline haigus
J37;Krooniline kõri- ja kõri-hingetorupõletik e larüngiit ja larüngotrahheiit
J38.0;Häälekurdude ja kõrihalvatus
J38.1;Häälekurru ja kõri polüüp
J38.2;Häälekurdude noodulid e sõlmekesed
J38.3;Muud häälekurdude haigused
J38.6;Kõrikitsenemus e -stenoos
J41;Lihtne ja limasmädane krooniline bronhiit
J42;Täpsustamata krooniline bronhiit
J43;Emfüseem e puhitus
J44;Muu krooniline obstruktiivne kopsuhaigus
J45;Astma
J46;Astmaatiline seisund
J47;Bronhoektaasiatõbi
J60;Söekaevurite kopsutolmustus e pneumokonioos
J61;Asbesti ja muude mineraalkiudude põhjustatud pneumokonioos
J62;Ränisisaldava tolmu põhjustatud pneumokonioos
J63;Muude anorgaaniliste tolmude põhjustatud pneumokonioos
J64;Täpsustamata pneumokonioos
J65;Pneumokonioos koos tuberkuloosiga
J66;Spetsiifilise orgaanilise tolmu põhjustatud hingamisteede haigus
J67;Orgaanilise tolmu põhjustatud allergiline pneumoniit
J68.4;Kemikaalide, gaaside, suitsude ja aurude põhjustatud kroonilised hingamiselundite haigusseisundid
J68.8;Muud kemikaalide, gaaside, suitsude ja aurude põhjustatud hingamiselundite haigusseisundid
J69.1;Õlide ja essentside põhjustatud pneumoniit
J70.1;Kiirguse põhjustatud kroonilised ja muud kopsuilmingud
J70.2;Ravimi põhjustatud ägedad interstitsiaalsed kopsude haigusseisundid
J70.4;Täpsustamata ravimi põhjustatud interstitsiaalne kopsu haigusseisund
J82;Mujal klassifitseerimata kopsueosinofiilia
J84;Muud interstitsiaalsed kopsuhaigused
J85.0;Kopsugangreen ja -nekroos
J85.1;Kopsumädanik koos kopsupõletikuga
J85.2;Kopsumädanik ilma kopsupõletikuta
J86;Mädarind e püotooraks
J90;Mujal klassifitseerimata pleuraefusioon [pleuriit eksudaadiga]
J91;Pleuraefusioon mujal klassifitseeritud haigusseisundite korral
J92;Pleuranaastud
J93;Õhkrind e pneumotooraks
J94.0;Piimandrind e külotooraks
J94.1;Fibrotooraks
J95.3;Kirurgilise menetluse järgne krooniline hingamispuudulikkus
J95.4;Mendelsoni sündroom
J95.5;Menetlusjärgne häälekõrialune e subglotiline stenoos
J96.1;Krooniline hingamispuudulikkus
J96.9;Täpsustamata hingamispuudulikkus
J98.4;Muud kopsu haigusseisundid
J98.5;Mujal klassifitseerimata keskseinandihaigused
J98.6;Vahelihasehaigused
J99;Mujal klassifitseeritud haiguste korral esinevad hingamiselundite haigusseisundid
K05.1;Krooniline gingiviit
K06.1;Igeme suurenemine
K06.8;Igeme ja hambutu sombusharja muud täpsustatud haigusseisundid
K07.0;Lõualuu suuruse suuremad anomaaliad
K07.6;Temporomandibulaarse e oimuluu-alalõua liigese haigusseisundid
K10.1;Keskne hiidrakkgranuloom
K10.2;Lõualuude põletikulised muutused
K11.1;Süljenäärme hüpertroofia
K11.5;Süljekivitõbi e sialolitiaas
K11.7;Süljesekretsiooni häired
K11.8;Süljenäärmete muud haigused
K13.2;Keele- ja suuepiteeli leukoplaakia ning muud häired
K13.3;Karvane leukoplaakia
K13.4;Suulimaskesta granuloom ja granuloomitaolised kahjustused
K21.0;Ösofagiit gastro-ösofageaalse tagasivooluhaigusega
K22.0;Ostiokardiakospasm e maolävisesuistiku-spasm
K22.1;Söögitoruhaavand e ösofaagulkus
K22.2;Söögitoruummistus
K22.4;Söögitoru liigutushäire e düskineesia
K22.5;Omandatud söögitorusopistis e -divertiikul
K23.0;Tuberkuloosne ösofagiit
K23.1;Megaösofagus e hiidsöögitoru Chagasi tõve korral
K25;Maohaavand
K26;Kaksteistsõrmikuhaavand
K27;Täpsustamata paikmega peptiline e seedehaavand
K28;Mao-peensoole haavand
K29.4;Krooniline atroofiline gastriit
K29.6;Muud gastriidid
K31.1;Täiskasvanu hüpertroofiline pülorostenoos e lukutikitsenemus
K31.2;Mao liivakellstriktuur ja -stenoos
K31.3;Mujal klassifitseerimata pülorospasm e lukutikramp
K31.4;Maosopistis e -divertiikul
K31.5;Kaksteistsõrmikusulgus e -obstruktsioon
K31.6;Mao- ja kaksteistsõrmiku-uuris
K35;Äge apenditsiit e ussripikupõletik
K36;Muu ussripikupõletik
K37;Täpsustamata ussripikupõletik
K40;Kubemesong
K41;Reiesong
K42;Nabasong
K43;Kõhuseinasong
K44;Vahelihasesong
K45;Muud kõhuõõnesongad
K46;Täpsustamata kõhuõõnesong
K50;Crohni tõbi [regionaalne e segmentaarne peensoolepõletik]
K51;Ultseratiivne koliit e haavandiline jämesoolepõletik
K52.0;Kiirgusgastroenteriit ja -koliit
K52.2;Allergiline ja toidu põhjustatud gastroenteriit ning koliit
K52.8;Muud täpsustatud mittenakkuslikud gastroenteriidid ja koliidid
K55;Vaskulaarsed soolehäired
K56.5;Sooleliited (paelad) koos ummistusega
K56.6;Muud ja täpsustamata sooleummistused
K56.7;Täpsustamata soolesulgus e iileus
K57;Soole divertiikul- e sopististõbi
K58;Soole ärritussündroom e -haigustunnustik
K59.4;Pärakukramp e anaalspasm
K59.8;Muud täpsustatud soole talitlushäired
K60;Pärasoole- ja pärakupiirkonna lõhed ja uurised
K62.2;Pärakuväljalange e anaalprolaps
K62.3;Pärasoole-väljalange e rektaalprolaps
K62.4;Päraku või pärasoole kitsenemus e stenoos
K62.5;Päraku või pärasoole verejooks e hemorraagia
K62.6;Päraku või pärasoole haavand
K62.7;Kiirgusproktiit e radiatsiooniproktiit
K63.1;Soole (mittetraumaatiline) perforatsioon
K63.2;Sooleuuris
K63.3;Soolehaavand
K63.8;Muud täpsustatud soolehaigused
K66.0;Kõhukelmeliited e peritoneaaladhesioonid
K67.2;Süfiliitiline peritoniit
K67.3;Tuberkuloosne peritoniit
K70;Maksa alkoholtõbi
K71;Maksatoksikoos e mürgistushaigus
K72;Mujal klassifitseerimata maksapuudulikkus
K73;Mujal klassifitseerimata krooniline hepatiit e maksapõletik
K74;Maksafibroos ja -tsirroos e -sidekoestus ja -kortsumus
K75.1;Värativeenipõletik
K75.2;Mittespetsiifiline reaktiivne hepatiit
K75.3;Mujal klassifitseerimata granulomatoosne hepatiit
K75.8;Muud täpsustatud maksapõletikud
K75.9;Täpsustamata maksapõletik
K76.0;Mujal klassifitseerimata rasvastunud maks
K76.1;Krooniline passiivne tungliigveresus e maksakongestioon
K76.2;Keskne hemorraagiline maksanekroos
K76.3;Maksainfarkt
K76.4;Maksapelioos
K76.5;Maksa veno-oklusiivhaigus
K76.6;Portaalhüpertensioon
K76.7;Hepatorenaalsündroom
K76.8;Muud täpsustatud maksahaigused
K76.9;Täpsustamata maksahaigus
K80;Kolelitiaas e sapikivitõbi
K81;Koletsüstiit e sapipõiepõletik
K82.0;Sapipõieummistus e -obstruktsioon
K82.1;Sapipõieveestus e hüdrops
K82.3;Sapipõieuuris e -fistul
K82.4;Sapipõiekolesteroloos e -kolesteroos
K83.0;Sapijuhapõletik e kolangiit
K83.1;Sapijuhaummistus
K83.3;Sapijuhauuris e -fistul
K83.4;Oddi sfinkteri spasm
K83.5;Biliaar- e sapitsüst
K83.8;Muud täpsustatud sapiteedehaigused
K85;Äge pankreatiit e kõhunäärmepõletik
K86;Muud kõhunäärmehaigused
K90;Soole malabsorptsioon e väärimendumine
K91.1;Maolõikusejärgsed sündroomid
K91.2;Mujal klassifitseerimata operatsioonijärgne malabsorptsioon
K91.4;Kolostoomia ja enterostoomia väärtalitlus
K92.0;Vereoksendus e hematemees
K92.1;Veriroe, mustroe e meleena
K92.2;Täpsustamata gastrointestinaalne verejooks
K93.0;Soolte, peritoneumi ja mesenteriaalnäärmete tuberkuloossed haigusseisundid
K93.1;Megakoolon Chagasi tõve korral
L05;Pilonidaaltsüst e karvanääpsutsüst
L10;Pemfigus e villtõbi
L11.0;Omandatud follikulaarne e karvanääpsukeratoos
L12;Pemfigoid
L13;Muud bulloossed haigusseisundid
L20;Atoopiline dermatiit e nahapõletik
L23;Allergiline kontaktdermatiit
L24;Ärritav kontaktdermatiit
L25;Täpsustamata kontaktdermatiit
L26;Eksfoliatiivdermatiit e lehestuv nahapõletik
L28;Krooniline lihtlihhen ja pruriigo e sügatõbi
L40;Psoriaas e soomussammaspool
L41;Parapsoriaas
L43;Lame lihhen
L44;Muud papuloskvamoossed haigusseisundid
L50.8;Muu nõgeslööve
L51.2;Toksiline sarvkihinekrolüüs [Lyell]
L56.4;Mitmekujuline valguslööve
L57;Kroonilise mitteioniseeriva kiirguse põhjustatud nahamuutused
L58.1;Krooniline radiodermatiit
L58.9;Täpsustamata radiodermatiit
L63;Areaatalopeetsia e laiguline juuksetus
L66;Armistusjuuksetus
L68.0;[Naise]liigkarvasus e hirsutism
L71;Rosaatsea e roosad vinnid
L73.0;Aknekeloid
L81.3;"""Piimaga kohvi"" laigud"
L83;Nigrikant- e mustendav akantoos
L89;Dekuubitus- e lamatishaavand
L90.0;Sklerootilis-atroofiline lihhen
